"",BBK01.OECB08P,BBK01.OECB08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:13,
2002-01,1.091,
2002-04,1.085,
2002-07,1.088,
2002-10,1.096,
2003-01,1.112,
2003-04,1.104,
2003-07,1.159,
2003-10,1.158,
2004-01,1.144,
2004-04,1.122,
2004-07,1.115,
2004-10,1.086,
2005-01,1.272,
2005-04,1.273,
2005-07,1.270,
2005-10,1.251,
2006-01,1.213,
2006-04,1.218,
2006-07,1.218,
2006-10,1.242,
2007-01,1.270,
2007-04,1.273,
2007-07,1.264,
2007-10,1.238,
2008-01,1.236,
2008-04,1.218,
2008-07,1.195,
2008-10,1.180,
2009-01,1.194,
2009-04,1.549,
2009-07,1.518,
2009-10,1.498,
2010-01,1.462,
2010-04,1.462,
2010-07,1.305,
2010-10,1.364,
2011-01,1.385,
2011-04,1.360,
2011-07,1.356,
2011-10,1.333,
2012-01,1.309,
2012-04,1.269,
2012-07,1.252,
2012-10,1.234,
2013-01,1.232,
2013-04,1.194,
2013-07,1.188,
2013-10,1.277,
2014-01,1.275,
2014-04,1.256,
2014-07,1.273,
