"",BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:50,
1991-01,188.582,
1991-04,339.517,
1991-07,158.014,
1991-10,395.454,
1992-01,111.136,
1992-04,-198.885,
1992-07,139.908,
1992-10,111.553,
1993-01,-190.318,
1993-04,13.177,
1993-07,-178.766,
1993-10,-40.426,
1994-01,136.600,
1994-04,1328.182,
1994-07,31.131,
1994-10,184.025,
1995-01,204.836,
1995-04,192.425,
1995-07,210.510,
1995-10,174.584,
1996-01,170.362,
1996-04,233.968,
1996-07,-70.346,
1996-10,61.725,
1997-01,340.233,
1997-04,542.162,
1997-07,479.124,
1997-10,233.363,
1998-01,743.542,
1998-04,662.965,
1998-07,597.897,
1998-10,594.395,
1999-01,609.059,
1999-04,357.974,
1999-07,830.231,
1999-10,244.180,
2000-01,690.223,
2000-04,809.012,
2000-07,-24.925,
2000-10,1634.923,
2001-01,946.725,
2001-04,2419.546,
2001-07,268.573,
2001-10,-355.794,
2002-01,590.055,
2002-04,1012.596,
2002-07,-1127.525,
2002-10,609.176,
2003-01,796.170,
2003-04,62.304,
2003-07,-286.287,
2003-10,399.110,
2004-01,372.292,
2004-04,-384.848,
2004-07,54.852,
2004-10,-1161.949,
2005-01,998.911,
2005-04,581.364,
2005-07,-584.387,
2005-10,-127.196,
2006-01,1218.593,
2006-04,-30.849,
2006-07,-11.371,
2006-10,507.587,
2007-01,1454.158,
2007-04,96.685,
2007-07,797.467,
2007-10,622.566,
2008-01,985.285,
2008-04,10088.808,
2008-07,1717.555,
2008-10,393.086,
2009-01,226.148,
2009-04,2527.529,
2009-07,-1497.804,
2009-10,3087.299,
2010-01,-4453.270,
2010-04,176.430,
2010-07,836.642,
2010-10,666.583,
2011-01,571.517,
2011-04,-2295.006,
2011-07,823.837,
2011-10,1978.371,
2012-01,1107.625,
2012-04,131.333,
2012-07,-1766.477,
2012-10,779.115,
2013-01,616.253,
2013-04,-1096.497,
2013-07,106.596,
2013-10,366.738,
2014-01,-1245.035,Provisional value
2014-04,-239.943,Provisional value
2014-07,-218.999,Provisional value
2014-10,-267.526,Provisional value
