"",BBK01.OECI06I,BBK01.OECI06I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:53,
2002-01,0.054,
2002-04,0.052,
2002-07,0.046,
2002-10,0.040,
2003-01,0.034,
2003-04,0.032,
2003-07,0.029,
2003-10,0.025,
2004-01,0.022,
2004-04,0.019,
2004-07,0.018,
2004-10,0.016,
2005-01,0.015,
2005-04,0.014,
2005-07,0.012,
2005-10,0.012,
2006-01,0.010,
2006-04,0.009,
2006-07,0.008,
2006-10,0.007,
2007-01,0.007,
2007-04,0.006,
2007-07,0.005,
2007-10,0.005,
2008-01,0.005,
2008-04,0.005,
2008-07,0.008,
2008-10,0.006,
2009-01,0.005,
2009-04,0.005,
2009-07,0.003,
2009-10,0.003,
2010-01,0.003,
2010-04,0.003,
2010-07,0.002,
2010-10,0.002,
2011-01,0.002,
2011-04,0.024,
2011-07,0.026,
2011-10,0.030,
2012-01,0.039,
2012-04,0.040,
2012-07,0.040,
2012-10,0.025,
2013-01,0.021,
2013-04,0.021,
2013-07,0.022,
2013-10,0.024,
2014-01,0.025,
2014-04,0.025,
2014-07,0.024,
