"",BBSF2.M.1.T.00000.DGW01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DGW01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Mixed securities funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:13,
2009-09,2564,
2009-10,197,
2009-11,153,
2009-12,769,
2010-01,671,
2010-02,160,
2010-03,207,
2010-04,269,
2010-05,37,
2010-06,70,
2010-07,363,
2010-08,429,
2010-09,446,
2010-10,276,
2010-11,225,
2010-12,1355,
2011-01,125,
2011-02,98,
2011-03,273,
2011-04,173,
2011-05,95,
2011-06,151,
2011-07,237,
2011-08,152,
2011-09,502,
2011-10,353,
2011-11,132,
2011-12,772,
2012-01,157,
2012-02,117,
2012-03,59,
2012-04,106,
2012-05,37,
2012-06,361,
2012-07,267,
2012-08,52,
2012-09,35,
2012-10,14,
2012-11,51,
2012-12,851,
2013-01,255,
2013-02,107,
2013-03,23,
2013-04,333,
2013-05,35,
2013-06,299,
2013-07,35,
2013-08,127,
2013-09,45,
2013-10,37,
2013-11,49,
2013-12,628,
2014-01,32,
2014-02,183,
2014-03,208,
2014-04,180,
2014-05,132,
2014-06,287,
2014-07,223,
2014-08,396,
2014-09,249,
2014-10,232,
2014-11,287,
