"",BBK01.CEH3N0,BBK01.CEH3N0_FLAGS
"",Securities other than shares debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:36,
1991-01,-2.7,
1991-04,2.6,
1991-07,0.5,
1991-10,1.5,
1992-01,5.7,
1992-04,3.6,
1992-07,12.8,
1992-10,-0.3,
1993-01,-11.2,
1993-04,2.8,
1993-07,2.2,
1993-10,0.6,
1994-01,4.5,
1994-04,2.8,
1994-07,5.8,
1994-10,3.4,
1995-01,3.1,
1995-04,5.1,
1995-07,4.3,
1995-10,6.3,
1996-01,4.1,
1996-04,4.1,
1996-07,3.9,
1996-10,5.0,
1997-01,9.3,
1997-04,15.4,
1997-07,17.6,
1997-10,4.4,
1998-01,16.1,
1998-04,24.0,
1998-07,-3.1,
1998-10,41.6,
1999-01,23.4,
1999-04,26.3,
1999-07,16.2,
1999-10,22.2,
2000-01,32.6,
2000-04,9.0,
2000-07,22.6,
2000-10,15.4,
2001-01,27.2,
2001-04,19.5,
2001-07,10.6,
2001-10,23.1,
2002-01,13.8,
2002-04,14.3,
2002-07,11.3,
2002-10,5.2,
2003-01,13.0,
2003-04,30.2,
2003-07,0.2,
2003-10,7.4,
2004-01,28.5,
2004-04,33.3,
2004-07,24.2,
2004-10,20.1,
2005-01,58.1,
2005-04,48.6,
2005-07,9.0,
2005-10,37.7,
2006-01,42.1,
2006-04,41.6,
2006-07,24.4,
2006-10,35.7,
2007-01,77.8,
2007-04,67.1,
2007-07,29.7,
2007-10,54.9,
2008-01,53.8,
2008-04,66.2,
2008-07,1.0,
2008-10,-57.4,
2009-01,-21.8,
2009-04,20.6,
2009-07,13.2,
2009-10,12.1,
2010-01,31.3,
2010-04,12.7,
2010-07,11.8,
2010-10,72.8,
2011-01,17.5,
2011-04,4.3,
2011-07,-2.5,
2011-10,13.9,
2012-01,38.4,
2012-04,26.5,
2012-07,23.2,
2012-10,15.5,
2013-01,17.7,
2013-04,20.9,
2013-07,8.6,
2013-10,26.5,
2014-01,40.0,
