"",BBK01.OELL06U,BBK01.OELL06U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:17,
2002-01,0.469,
2002-04,0.478,
2002-07,0.476,
2002-10,0.457,
2003-01,0.433,
2003-04,0.424,
2003-07,0.411,
2003-10,0.429,
2004-01,0.422,
2004-04,0.417,
2004-07,0.411,
2004-10,0.412,
2005-01,0.398,
2005-04,0.385,
2005-07,0.377,
2005-10,0.371,
2006-01,0.368,
2006-04,0.367,
2006-07,0.371,
2006-10,0.371,
2007-01,0.384,
2007-04,0.398,
2007-07,0.415,
2007-10,0.417,
2008-01,0.420,
2008-04,0.434,
2008-07,0.464,
2008-10,0.483,
2009-01,0.440,
2009-04,0.401,
2009-07,0.352,
2009-10,0.303,
2010-01,0.283,
2010-04,0.273,
2010-07,0.259,
2010-10,0.259,
2011-01,0.254,
2011-04,0.261,
2011-07,0.267,
2011-10,0.269,
2012-01,0.260,
2012-04,0.257,
2012-07,0.241,
2012-10,0.225,
2013-01,0.220,
2013-04,0.198,
2013-07,0.191,
2013-10,0.186,
2014-01,0.175,
2014-04,0.170,
2014-07,0.158,
