"",BBK01.OECB05R,BBK01.OECB05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:35,
2002-01,3.202,
2002-04,3.104,
2002-07,3.081,
2002-10,3.103,
2003-01,2.820,
2003-04,2.683,
2003-07,2.664,
2003-10,2.597,
2004-01,2.546,
2004-04,2.508,
2004-07,2.447,
2004-10,2.889,
2005-01,3.831,
2005-04,3.782,
2005-07,3.777,
2005-10,3.696,
2006-01,3.601,
2006-04,3.565,
2006-07,3.553,
2006-10,3.443,
2007-01,3.446,
2007-04,3.429,
2007-07,3.380,
2007-10,3.385,
2008-01,3.337,
2008-04,3.413,
2008-07,3.424,
2008-10,3.342,
2009-01,3.334,
2009-04,3.704,
2009-07,3.579,
2009-10,3.574,
2010-01,3.579,
2010-04,3.523,
2010-07,3.505,
2010-10,3.488,
2011-01,3.552,
2011-04,3.496,
2011-07,3.468,
2011-10,3.477,
2012-01,3.500,
2012-04,3.491,
2012-07,3.486,
2012-10,3.491,
2013-01,3.511,
2013-04,3.554,
2013-07,3.625,
2013-10,3.604,
2014-01,3.617,
2014-04,3.608,
2014-07,3.573,
