"",BBK01.CEBEC0,BBK01.CEBEC0_FLAGS
"",short-term loans debtor: General government                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:13:51,
1991-01,7.5,
1991-04,8.5,
1991-07,8.1,
1991-10,12.3,
1992-01,9.1,
1992-04,11.3,
1992-07,9.9,
1992-10,15.7,
1993-01,11.1,
1993-04,11.8,
1993-07,11.3,
1993-10,13.8,
1994-01,11.2,
1994-04,12.1,
1994-07,11.2,
1994-10,22.9,
1995-01,28.3,
1995-04,27.5,
1995-07,18.1,
1995-10,22.0,
1996-01,23.7,
1996-04,27.1,
1996-07,19.6,
1996-10,26.4,
1997-01,33.0,
1997-04,17.9,
1997-07,26.7,
1997-10,26.6,
1998-01,27.8,
1998-04,22.3,
1998-07,29.3,
1998-10,26.5,
1999-01,24.9,
1999-04,25.8,
1999-07,25.7,
1999-10,21.7,
2000-01,29.2,
2000-04,22.2,
2000-07,33.5,
2000-10,17.7,
2001-01,32.2,
2001-04,21.4,
2001-07,22.7,
2001-10,25.3,
2002-01,41.8,
2002-04,25.6,
2002-07,23.0,
2002-10,30.1,
2003-01,35.0,
2003-04,37.7,
2003-07,47.1,
2003-10,39.2,
2004-01,51.7,
2004-04,44.6,
2004-07,44.1,
2004-10,40.9,
2005-01,51.1,
2005-04,50.1,
2005-07,53.5,
2005-10,46.5,
2006-01,58.5,
2006-04,56.4,
2006-07,65.7,
2006-10,52.4,
2007-01,68.5,
2007-04,72.8,
2007-07,68.0,
2007-10,55.2,
2008-01,70.3,
2008-04,75.7,
2008-07,65.8,
2008-10,76.3,
2009-01,71.8,
2009-04,65.3,
2009-07,70.6,
2009-10,64.1,
2010-01,63.8,
2010-04,73.6,
2010-07,75.4,
2010-10,235.0,
2011-01,213.4,
2011-04,195.4,
2011-07,191.8,
2011-10,199.0,
2012-01,180.0,
2012-04,191.6,
2012-07,168.7,
2012-10,152.4,
2013-01,138.0,
2013-04,135.8,
2013-07,117.9,
2013-10,129.2,
2014-01,114.6,
