"",BBK01.OEBK01R,BBK01.OEBK01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:53,
2002-01,0.333,
2002-04,0.333,
2002-07,0.337,
2002-10,0.345,
2003-01,0.318,
2003-04,0.320,
2003-07,0.331,
2003-10,0.341,
2004-01,0.322,
2004-04,0.323,
2004-07,0.334,
2004-10,0.340,
2005-01,0.330,
2005-04,0.338,
2005-07,0.361,
2005-10,0.370,
2006-01,0.349,
2006-04,0.352,
2006-07,0.380,
2006-10,0.412,
2007-01,0.382,
2007-04,0.406,
2007-07,0.388,
2007-10,0.431,
2008-01,0.407,
2008-04,0.416,
2008-07,0.436,
2008-10,0.454,
2009-01,0.408,
2009-04,0.450,
2009-07,0.546,
2009-10,0.486,
2010-01,0.467,
2010-04,0.539,
2010-07,0.563,
2010-10,0.564,
2011-01,0.560,
2011-04,0.571,
2011-07,0.612,
2011-10,0.627,
2012-01,0.618,
2012-04,0.626,
2012-07,0.651,
2012-10,0.683,
2013-01,0.667,
2013-04,0.683,
2013-07,0.721,
2013-10,0.733,
2014-01,0.737,
2014-04,0.741,
2014-07,0.779,
