"",BBSF2.M.1.T.00000.DAC01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds / Sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:11,
2009-09,2911,
2009-10,870,
2009-11,490,
2009-12,1235,
2010-01,995,
2010-02,539,
2010-03,578,
2010-04,611,
2010-05,390,
2010-06,316,
2010-07,686,
2010-08,4281,
2010-09,805,
2010-10,569,
2010-11,687,
2010-12,2009,
2011-01,615,
2011-02,332,
2011-03,540,
2011-04,391,
2011-05,612,
2011-06,599,
2011-07,440,
2011-08,362,
2011-09,856,
2011-10,711,
2011-11,301,
2011-12,1562,
2012-01,408,
2012-02,293,
2012-03,478,
2012-04,311,
2012-05,271,
2012-06,720,
2012-07,9238,
2012-08,228,
2012-09,204,
2012-10,1028,
2012-11,289,
2012-12,1566,
2013-01,1188,
2013-02,505,
2013-03,418,
2013-04,799,
2013-05,555,
2013-06,863,
2013-07,355,
2013-08,376,
2013-09,414,
2013-10,655,
2013-11,557,
2013-12,1686,
2014-01,830,
2014-02,526,
2014-03,940,
2014-04,613,
2014-05,346,
2014-06,837,
2014-07,791,
2014-08,774,
2014-09,635,
2014-10,757,
2014-11,1030,
