"",BBK01.OEHB19H,BBK01.OEHB19H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:17,
2002-01,1.818,
2002-04,1.815,
2002-07,1.831,
2002-10,1.811,
2003-01,1.774,
2003-04,1.793,
2003-07,1.814,
2003-10,1.811,
2004-01,1.780,
2004-04,1.788,
2004-07,1.782,
2004-10,1.759,
2005-01,1.687,
2005-04,1.689,
2005-07,1.691,
2005-10,1.656,
2006-01,1.604,
2006-04,1.594,
2006-07,1.588,
2006-10,1.564,
2007-01,1.519,
2007-04,1.492,
2007-07,1.427,
2007-10,1.394,
2008-01,1.341,
2008-04,1.320,
2008-07,1.293,
2008-10,1.284,
2009-01,1.301,
2009-04,1.373,
2009-07,1.450,
2009-10,1.487,
2010-01,1.500,
2010-04,1.533,
2010-07,1.592,
2010-10,1.604,
2011-01,1.598,
2011-04,1.639,
2011-07,1.676,
2011-10,1.686,
2012-01,1.692,
2012-04,1.736,
2012-07,1.786,
2012-10,1.810,
2013-01,1.799,
2013-04,1.815,
2013-07,1.827,
2013-10,1.807,
2014-01,1.786,
2014-04,1.792,
2014-07,1.807,
