"",BBK01.OEBL01H,BBK01.OEBL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:59,
2002-01,40.003,
2002-04,39.044,
2002-07,38.755,
2002-10,40.103,
2003-01,40.440,
2003-04,40.527,
2003-07,41.459,
2003-10,41.151,
2004-01,41.485,
2004-04,37.211,
2004-07,37.475,
2004-10,38.198,
2005-01,48.054,
2005-04,49.321,
2005-07,49.764,
2005-10,50.894,
2006-01,50.933,
2006-04,51.609,
2006-07,50.147,
2006-10,51.231,
2007-01,53.002,
2007-04,55.228,
2007-07,56.957,
2007-10,59.031,
2008-01,60.757,
2008-04,61.369,
2008-07,62.586,
2008-10,67.195,
2009-01,69.083,
2009-04,69.566,
2009-07,68.951,
2009-10,67.777,
2010-01,66.724,
2010-04,67.019,
2010-07,66.084,
2010-10,67.035,
2011-01,67.805,
2011-04,68.506,
2011-07,69.001,
2011-10,70.002,
2012-01,71.859,
2012-04,72.647,
2012-07,73.236,
2012-10,73.465,
2013-01,73.764,
2013-04,75.155,
2013-07,74.184,
2013-10,75.086,
2014-01,74.769,
2014-04,75.373,
2014-07,76.153,
