"",BBK01.OEBB05S,BBK01.OEBB05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:39,
2002-01,8.353,
2002-04,8.289,
2002-07,8.227,
2002-10,8.020,
2003-01,7.881,
2003-04,7.969,
2003-07,7.979,
2003-10,8.002,
2004-01,7.961,
2004-04,7.890,
2004-07,7.912,
2004-10,7.908,
2005-01,9.141,
2005-04,9.248,
2005-07,9.257,
2005-10,9.143,
2006-01,9.262,
2006-04,9.319,
2006-07,9.439,
2006-10,9.437,
2007-01,9.488,
2007-04,9.605,
2007-07,9.670,
2007-10,9.837,
2008-01,9.797,
2008-04,9.817,
2008-07,9.870,
2008-10,9.924,
2009-01,9.951,
2009-04,10.629,
2009-07,10.743,
2009-10,10.841,
2010-01,10.868,
2010-04,10.913,
2010-07,11.024,
2010-10,11.077,
2011-01,11.209,
2011-04,11.347,
2011-07,11.451,
2011-10,11.665,
2012-01,11.718,
2012-04,11.795,
2012-07,11.879,
2012-10,11.932,
2013-01,12.001,
2013-04,12.071,
2013-07,12.169,
2013-10,12.193,
2014-01,12.179,
2014-04,12.220,
2014-07,12.316,
