"",BBEX3.M.TRL.USD.CA.AC.A01,BBEX3.M.TRL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Turkey / USD 1 = TRL ... (middle),
unit,TRL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:33,
1982-01,140.995,
1982-02,145.135,
1982-03,148.015,
1982-04,149.230,
1982-05,152.710,
1982-06,165.640,
1982-07,169.175,
1982-08,172.610,
1982-09,176.750,
1982-10,180.640,
1982-11,184.830,
1982-12,186.750,
1983-01,193.060,
1983-02,196.245,
1983-03,205.790,
1983-04,210.080,
1983-05,215.890,
1983-06,221.545,
1983-07,231.190,
1983-08,241.240,
1983-09,245.885,
1983-10,252.500,
1983-11,268.860,
1983-12,282.800,
1984-01,311.465,
1984-02,310.285,
1984-03,322.685,
1984-04,339.640,
1984-05,357.010,
1984-06,369.940,
1984-07,382.690,
1984-08,388.670,
1984-09,408.585,
1984-10,415.620,
1984-11,429.485,
1984-12,444.735,
1985-01,453.700,
1985-02,483.305,
1985-03,491.080,
1985-04,512.275,
1985-05,528.330,
1985-06,535.715,
1985-07,532.125,
1985-08,535.905,
1985-09,544.940,
1985-10,551.545,
1985-11,560.675,
1985-12,576.855,
1986-01,586.860,
1986-02,596.910,
1986-03,664.835,
1986-04,658.165,
1986-05,689.375,
1986-06,682.105,
1986-07,679.880,
1986-08,683.315,
1986-09,698.870,
1986-10,737.535,
1986-11,747.065,
1986-12,757.790,
1987-01,755.535,
1987-02,766.210,
1987-03,777.940,
1987-04,797.140,
1987-05,821.050,
1987-06,852.425,
1987-07,880.045,
1987-08,897.035,
1987-09,933.730,
1987-10,946.810,
1987-11,970.220,
1987-12,1020.895,
1988-01,1120.445,
1988-02,1179.390,
1988-03,1223.750,
1988-04,1269.465,
1988-05,1323.400,
1988-06,1389.315,
1988-07,1444.400,
1988-08,1534.745,
1988-09,1650.660,
1988-10,1683.295,
1988-11,1778.240,
1988-12,1814.835,
1989-01,1883.075,
