"",BBK01.TQ7162,BBK01.TQ7162_FLAGS
"",Households - Household income FSI-S620,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:35,
2005-10,1565110,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,1594960,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1622560,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,1653050,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,1648650,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,1697540,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,1762560,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,1805220,
2013-01,.,No value available
2013-04,.,No value available
2013-07,.,No value available
2013-10,1846260,
2014-01,.,No value available
2014-04,.,No value available
