"",BBK01.OELO01R,BBK01.OELO01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:21,
2002-01,1.404,
2002-04,1.406,
2002-07,1.415,
2002-10,1.459,
2003-01,1.504,
2003-04,1.522,
2003-07,1.501,
2003-10,1.523,
2004-01,1.549,
2004-04,1.561,
2004-07,1.564,
2004-10,1.542,
2005-01,1.570,
2005-04,1.585,
2005-07,1.570,
2005-10,1.576,
2006-01,1.602,
2006-04,1.640,
2006-07,1.629,
2006-10,1.637,
2007-01,1.641,
2007-04,1.610,
2007-07,1.595,
2007-10,1.608,
2008-01,1.625,
2008-04,1.641,
2008-07,1.604,
2008-10,1.566,
2009-01,1.603,
2009-04,1.599,
2009-07,1.524,
2009-10,1.508,
2010-01,1.546,
2010-04,1.526,
2010-07,1.492,
2010-10,1.472,
2011-01,1.478,
2011-04,1.474,
2011-07,1.464,
2011-10,1.464,
2012-01,1.478,
2012-04,1.474,
2012-07,1.473,
2012-10,1.474,
2013-01,1.492,
2013-04,1.495,
2013-07,1.495,
2013-10,1.500,
2014-01,1.514,
2014-04,1.515,
2014-07,1.503,
