"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on foreign banks arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:20,
1971-12,0.126,
1972-01,0.182,
1972-02,0.152,
1972-03,0.141,
1972-04,0.121,
1972-05,0.105,
1972-06,0.108,
1972-07,0.115,
1972-08,0.111,
1972-09,0.110,
1972-10,0.109,
1972-11,0.110,
1972-12,0.112,
1973-01,0.108,
1973-02,0.110,
1973-03,0.115,
1973-04,0.101,
1973-05,0.100,
1973-06,0.086,
1973-07,0.084,
1973-08,0.089,
1973-09,0.088,
1973-10,0.086,
1973-11,0.088,
1973-12,0.095,
1974-01,0.096,
1974-02,0.095,
1974-03,0.095,
1974-04,0.096,
1974-05,0.101,
1974-06,0.099,
1974-07,0.100,
1974-08,0.070,
1974-09,0.071,
1974-10,0.067,
1974-11,0.067,
1974-12,0.067,
1975-01,0.068,
1975-02,0.069,
1975-03,0.074,
1975-04,0.071,
1975-05,0.065,
1975-06,0.068,
1975-07,0.077,
1975-08,0.082,
1975-09,0.093,
1975-10,0.092,
1975-11,0.090,
1975-12,0.089,
1976-01,0.099,
1976-02,0.114,
1976-03,0.114,
1976-04,0.118,
1976-05,0.119,
1976-06,0.112,
1976-07,0.113,
1976-08,0.114,
1976-09,0.098,
1976-10,0.095,
1976-11,0.100,
1976-12,0.098,
1977-01,0.097,
1977-02,0.095,
1977-03,0.095,
1977-04,0.096,
1977-05,0.098,
1977-06,0.098,
1977-07,0.093,
1977-08,0.095,
1977-09,0.096,
1977-10,0.096,
1977-11,0.098,
1977-12,0.102,
1978-01,0.108,
1978-02,0.108,
1978-03,0.132,
1978-04,0.123,
1978-05,0.127,
1978-06,0.134,
1978-07,0.129,
1978-08,0.133,
1978-09,0.130,
1978-10,0.130,
1978-11,0.131,
1978-12,0.139,
1979-01,0.141,
1979-02,0.141,
1979-03,0.142,
1979-04,0.135,
1979-05,0.134,
1979-06,0.287,
1979-07,0.286,
1979-08,0.284,
1979-09,0.247,
1979-10,0.239,
1979-11,0.252,
1979-12,0.227,
1980-01,0.346,
1980-02,0.345,
1980-03,0.358,
1980-04,0.374,
1980-05,0.383,
1980-06,0.389,
1980-07,0.392,
1980-08,0.337,
1980-09,0.342,
1980-10,0.357,
1980-11,0.349,
