"",BBFB1.Q.N.DE.IT.S1.S1.T.C.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.C.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Receipts / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:53,
1999-01,261.395,
1999-04,297.535,
1999-07,313.195,
1999-10,331.875,
2000-01,254.132,
2000-04,327.218,
2000-07,389.491,
2000-10,317.159,
2001-01,309.081,
2001-04,297.645,
2001-07,340.645,
2001-10,241.110,
2002-01,246.048,
2002-04,276.744,
2002-07,317.110,
2002-10,249.030,
2003-01,284.747,
2003-04,297.278,
2003-07,333.748,
2003-10,285.541,
2004-01,303.500,
2004-04,314.522,
2004-07,370.797,
2004-10,319.327,
2005-01,313.863,
2005-04,342.186,
2005-07,339.321,
2005-10,263.547,
2006-01,268.436,
2006-04,362.235,
2006-07,430.290,
2006-10,319.294,
2007-01,283.235,
2007-04,273.681,
2007-07,409.103,
2007-10,293.932,
2008-01,281.421,
2008-04,305.217,
2008-07,408.860,
2008-10,314.532,
2009-01,252.194,
2009-04,286.745,
2009-07,367.367,
2009-10,280.417,
2010-01,273.695,
2010-04,305.614,
2010-07,397.263,
2010-10,264.598,
2011-01,259.947,
2011-04,292.148,
2011-07,367.692,
2011-10,274.913,
2012-01,256.464,
2012-04,295.499,
2012-07,381.428,
2012-10,275.466,
2013-01,291.387,
2013-04,297.843,
2013-07,391.103,
2013-10,295.433,
2014-01,279.690,Provisional value
2014-04,294.284,Provisional value
2014-07,402.846,Provisional value
2014-10,281.154,Provisional value
