"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.ES.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.ES.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Spain,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:06,
2009-09,3531,
2009-10,3708,
2009-11,3727,
2009-12,3542,
2010-01,3589,
2010-02,3477,
2010-03,3567,
2010-04,3089,
2010-05,3056,
2010-06,3004,
2010-07,3430,
2010-08,3427,
2010-09,3742,
2010-10,3790,
2010-11,3392,
2010-12,3261,
2011-01,3674,
2011-02,4232,
2011-03,4588,
2011-04,4639,
2011-05,4299,
2011-06,4277,
2011-07,4274,
2011-08,4257,
2011-09,4056,
2011-10,4075,
2011-11,3769,
2011-12,3799,
2012-01,3693,
2012-02,3869,
2012-03,3753,
2012-04,3514,
2012-05,3231,
2012-06,3291,
2012-07,3343,
2012-08,3851,
2012-09,4333,
2012-10,4911,
2012-11,5502,
2012-12,5881,
2013-01,6691,
2013-02,6551,
2013-03,6377,
2013-04,6617,
2013-05,6499,
2013-06,6229,
2013-07,6153,
2013-08,6288,
2013-09,6757,
2013-10,6926,
2013-11,7169,
2013-12,7473,
2014-01,7567,
2014-02,7358,
2014-03,7463,
2014-04,7437,
2014-05,7493,
2014-06,7389,
2014-07,7552,
2014-08,7661,
2014-09,7739,
2014-10,7799,
2014-11,8221,
