"",BBK01.OEXO02L,BBK01.OEXO02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:51,
2002-01,0.603,
2002-04,0.743,
2002-07,1.500,
2002-10,1.253,
2003-01,1.208,
2003-04,0.545,
2003-07,0.545,
2003-10,0.487,
2004-01,0.553,
2004-04,0.433,
2004-07,0.451,
2004-10,0.457,
2005-01,0.541,
2005-04,0.612,
2005-07,0.518,
2005-10,0.506,
2006-01,0.731,
2006-04,0.582,
2006-07,0.687,
2006-10,0.684,
2007-01,1.007,
2007-04,0.803,
2007-07,1.214,
2007-10,1.080,
2008-01,1.058,
2008-04,0.797,
2008-07,0.881,
2008-10,1.782,
2009-01,1.346,
2009-04,1.080,
2009-07,2.776,
2009-10,2.528,
2010-01,1.922,
2010-04,1.751,
2010-07,1.390,
2010-10,2.926,
2011-01,1.617,
2011-04,0.698,
2011-07,0.602,
2011-10,0.592,
2012-01,0.591,
2012-04,0.541,
2012-07,0.675,
2012-10,0.551,
2013-01,0.593,
2013-04,0.470,
2013-07,0.561,
2013-10,0.545,
2014-01,0.507,
2014-04,0.403,
2014-07,0.647,
