"",BBSF2.M.1.S.I0000.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0000.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Domestic investors total / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:28,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,51705,
1993-05,52335,
1993-06,53903,
1993-07,55976,
1993-08,57703,
1993-09,57620,
1993-10,60680,
1993-11,61134,
1993-12,63690,
1994-01,65344,
1994-02,64926,
1994-03,65012,
1994-04,68465,
1994-05,67888,
1994-06,66983,
1994-07,69253,
1994-08,70242,
1994-09,67443,
1994-10,69328,
1994-11,68653,
1994-12,68753,
1995-01,69784,
1995-02,71397,
1995-03,70508,
1995-04,72583,
1995-05,74711,
1995-06,74690,
1995-07,77098,
1995-08,78507,
1995-09,79620,
1995-10,79433,
1995-11,82363,
1995-12,84111,
1996-01,89213,
1996-02,91386,
1996-03,93473,
1996-04,96134,
1996-05,97656,
1996-06,99288,
1996-07,99229,
1996-08,102041,
1996-09,104811,
1996-10,107129,
1996-11,111209,
1996-12,112214,
1997-01,118565,
1997-02,125193,
1997-03,128517,
1997-04,131314,
1997-05,134983,
1997-06,143309,
1997-07,155357,
1997-08,150970,
1997-09,157556,
1997-10,153674,
1997-11,157171,
1997-12,164950,
1998-01,175339,
1998-02,184317,
1998-03,195071,
1998-04,196931,
1998-05,205573,
1998-06,211773,
1998-07,217523,
1998-08,205855,
1998-09,202126,
1998-10,207790,
1998-11,220528,
1998-12,223792,
1999-01,231063,
1999-02,230548,
1999-03,235511,
1999-04,247107,
1999-05,244807,
1999-06,253718,
1999-07,251265,
1999-08,258062,
1999-09,254132,
1999-10,262277,
1999-11,275056,
1999-12,295111,
2000-01,294537,
2000-02,306932,
2000-03,314956,
2000-04,315318,
2000-05,312347,
2000-06,310123,
2000-07,314847,
2000-08,323337,
2000-09,319133,
2000-10,324486,
2000-11,314911,
2000-12,314283,
2001-01,320178,
2001-02,309179,
2001-03,303914,
2001-04,312923,
2001-05,313504,
2001-06,307980,
2001-07,304536,
2001-08,296360,
2001-09,279755,
2001-10,291134,
2001-11,297893,
2001-12,299030,
2002-01,297285,
2002-02,296369,
2002-03,299549,
2002-04,296280,
2002-05,293130,
2002-06,284003,
2002-07,276700,
2002-08,276805,
2002-09,267080,
2002-10,272818,
2002-11,279935,
2002-12,270523,
2003-01,271934,
2003-02,269689,
2003-03,271515,
2003-04,280332,
2003-05,286705,
2003-06,291905,
2003-07,293519,
2003-08,296674,
2003-09,297742,
2003-10,302205,
2003-11,300568,
2003-12,306070,
2004-01,313732,
2004-02,316691,
2004-03,317001,
2004-04,317664,
2004-05,314970,
2004-06,318810,
2004-07,314997,
2004-08,316745,
2004-09,318135,
2004-10,321006,
2004-11,323777,
2004-12,321872,
2005-01,326100,
2005-02,328434,
2005-03,326345,
2005-04,326567,
2005-05,331163,
2005-06,339244,
2005-07,342036,
2005-08,343533,
2005-09,345312,
2005-10,339072,
2005-11,339210,
2005-12,339928,
2006-01,335807,
2006-02,339650,
2006-03,340155,
2006-04,338691,
2006-05,332889,
2006-06,330429,
2006-07,333467,
2006-08,334470,
2006-09,338719,
2006-10,341692,
2006-11,341515,
2006-12,343382,
2007-01,343876,
2007-02,344751,
2007-03,345400,
2007-04,353155,
2007-05,356970,
2007-06,355568,
2007-07,352853,
2007-08,352025,
2007-09,353591,
2007-10,356496,
2007-11,351373,
2007-12,349548,
2008-01,339018,
2008-02,340023,
2008-03,335110,
2008-04,338353,
2008-05,336885,
2008-06,326570,
2008-07,318343,
2008-08,322234,
2008-09,313632,
2008-10,295240,
2008-11,291974,
2008-12,285889,
2009-01,283024,
2009-02,277420,
2009-03,277396,
2009-04,275970,
2009-05,233299,
2009-06,234051,
2009-07,234328,
2009-08,236567,
2009-09,227576,
2009-10,229474,
2009-11,231390,
2009-12,232301,
2010-01,232040,
2010-02,232756,
2010-03,237169,
2010-04,235076,
2010-05,231642,
2010-06,234551,
2010-07,238754,
2010-08,243388,
2010-09,243044,
2010-10,246317,
2010-11,244922,
2010-12,256500,
2011-01,259104,
2011-02,264112,
2011-03,262872,
2011-04,264856,
2011-05,265646,
2011-06,264017,
2011-07,265063,
2011-08,259462,
2011-09,256238,
2011-10,259396,
2011-11,253588,
2011-12,256068,
2012-01,256753,
2012-02,265134,
2012-03,266697,
2012-04,267445,
2012-05,266329,
2012-06,267596,
2012-07,273695,
2012-08,276829,
2012-09,280183,
2012-10,282882,
2012-11,287756,
2012-12,293560,
2013-01,294811,
2013-02,300695,
2013-03,306665,
2013-04,313260,
2013-05,314945,
2013-06,311240,
2013-07,317732,
2013-08,317344,
2013-09,321862,
2013-10,326835,
2013-11,328558,
2013-12,329664,
2014-01,330671,
2014-02,335701,
2014-03,337219,
2014-04,339459,
2014-05,346003,
2014-06,347937,
2014-07,353259,
2014-08,378006,
2014-09,379267,
2014-10,381294,
2014-11,386578,
