"",BBK01.OEAC08P,BBK01.OEAC08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:22,
2002-01,0.182,
2002-04,0.214,
2002-07,0.228,
2002-10,0.227,
2003-01,0.341,
2003-04,0.235,
2003-07,0.281,
2003-10,0.245,
2004-01,0.232,
2004-04,0.228,
2004-07,0.285,
2004-10,0.279,
2005-01,0.320,
2005-04,0.347,
2005-07,0.341,
2005-10,0.345,
2006-01,0.323,
2006-04,0.286,
2006-07,0.312,
2006-10,0.288,
2007-01,0.287,
2007-04,0.302,
2007-07,0.310,
2007-10,0.394,
2008-01,0.359,
2008-04,0.364,
2008-07,0.356,
2008-10,0.353,
2009-01,0.355,
2009-04,0.352,
2009-07,0.343,
2009-10,0.393,
2010-01,0.380,
2010-04,0.379,
2010-07,0.356,
2010-10,0.381,
2011-01,0.443,
2011-04,0.484,
2011-07,0.484,
2011-10,0.453,
2012-01,0.696,
2012-04,0.496,
2012-07,0.529,
2012-10,0.561,
2013-01,0.480,
2013-04,0.457,
2013-07,0.501,
2013-10,0.513,
2014-01,0.481,
2014-04,0.478,
2014-07,0.524,
