"",BBK01.OEAA04G,BBK01.OEAA04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:21,
2002-01,0.997,
2002-04,0.956,
2002-07,0.953,
2002-10,0.877,
2003-01,0.858,
2003-04,0.837,
2003-07,0.840,
2003-10,0.775,
2004-01,0.747,
2004-04,0.738,
2004-07,0.679,
2004-10,0.600,
2005-01,0.629,
2005-04,0.622,
2005-07,0.552,
2005-10,0.512,
2006-01,0.486,
2006-04,0.499,
2006-07,0.466,
2006-10,0.411,
2007-01,0.402,
2007-04,0.414,
2007-07,0.373,
2007-10,0.348,
2008-01,0.341,
2008-04,0.308,
2008-07,0.283,
2008-10,0.327,
2009-01,0.272,
2009-04,0.229,
2009-07,0.211,
2009-10,0.222,
2010-01,0.179,
2010-04,0.155,
2010-07,0.148,
2010-10,0.165,
2011-01,0.173,
2011-04,0.166,
2011-07,0.170,
2011-10,0.229,
2012-01,0.167,
2012-04,0.150,
2012-07,0.151,
2012-10,0.195,
2013-01,0.109,
2013-04,0.125,
2013-07,0.106,
2013-10,0.140,
2014-01,0.102,
2014-04,0.110,
2014-07,0.082,
