"",BBK01.OEBB13R,BBK01.OEBB13R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:29,
2002-01,1.540,
2002-04,1.518,
2002-07,1.510,
2002-10,1.512,
2003-01,1.477,
2003-04,1.482,
2003-07,1.487,
2003-10,1.440,
2004-01,1.418,
2004-04,1.418,
2004-07,1.412,
2004-10,1.401,
2005-01,1.456,
2005-04,1.452,
2005-07,1.439,
2005-10,1.430,
2006-01,1.424,
2006-04,1.420,
2006-07,1.418,
2006-10,1.418,
2007-01,1.439,
2007-04,1.443,
2007-07,1.440,
2007-10,1.481,
2008-01,1.468,
2008-04,1.438,
2008-07,1.416,
2008-10,1.417,
2009-01,1.399,
2009-04,1.494,
2009-07,1.488,
2009-10,1.509,
2010-01,1.507,
2010-04,1.521,
2010-07,1.533,
2010-10,1.495,
2011-01,1.505,
2011-04,1.511,
2011-07,1.511,
2011-10,1.530,
2012-01,1.543,
2012-04,1.545,
2012-07,1.533,
2012-10,1.546,
2013-01,1.552,
2013-04,1.563,
2013-07,1.548,
2013-10,1.557,
2014-01,1.581,
2014-04,1.593,
2014-07,1.583,
