"",BBK01.OEAC51U,BBK01.OEAC51U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:09,
2002-01,0.220,
2002-04,0.225,
2002-07,0.229,
2002-10,0.225,
2003-01,0.228,
2003-04,0.224,
2003-07,0.226,
2003-10,0.221,
2004-01,0.219,
2004-04,0.216,
2004-07,0.214,
2004-10,0.215,
2005-01,0.213,
2005-04,0.214,
2005-07,0.219,
2005-10,0.224,
2006-01,0.227,
2006-04,0.234,
2006-07,0.246,
2006-10,0.261,
2007-01,0.265,
2007-04,0.271,
2007-07,0.283,
2007-10,0.301,
2008-01,0.306,
2008-04,0.317,
2008-07,0.326,
2008-10,0.327,
2009-01,0.324,
2009-04,0.332,
2009-07,0.342,
2009-10,0.335,
2010-01,0.356,
2010-04,0.367,
2010-07,0.381,
2010-10,0.395,
2011-01,0.394,
2011-04,0.397,
2011-07,0.423,
2011-10,0.437,
2012-01,0.437,
2012-04,0.443,
2012-07,0.460,
2012-10,0.471,
2013-01,0.478,
2013-04,0.489,
2013-07,0.511,
2013-10,0.517,
2014-01,0.525,
2014-04,0.539,
2014-07,0.558,
