"",BBK01.OELL04R,BBK01.OELL04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:03,
2002-01,0.182,
2002-04,0.157,
2002-07,0.156,
2002-10,0.155,
2003-01,0.150,
2003-04,0.137,
2003-07,0.137,
2003-10,0.132,
2004-01,0.133,
2004-04,0.133,
2004-07,0.134,
2004-10,0.131,
2005-01,0.140,
2005-04,0.139,
2005-07,0.160,
2005-10,0.160,
2006-01,0.132,
2006-04,0.175,
2006-07,0.176,
2006-10,0.185,
2007-01,0.206,
2007-04,0.220,
2007-07,0.229,
2007-10,0.249,
2008-01,0.248,
2008-04,0.257,
2008-07,0.268,
2008-10,0.300,
2009-01,0.301,
2009-04,0.273,
2009-07,0.241,
2009-10,0.226,
2010-01,0.220,
2010-04,0.211,
2010-07,0.212,
2010-10,0.214,
2011-01,0.206,
2011-04,0.203,
2011-07,0.197,
2011-10,0.197,
2012-01,0.189,
2012-04,0.186,
2012-07,0.184,
2012-10,0.179,
2013-01,0.169,
2013-04,0.165,
2013-07,0.162,
2013-10,0.163,
2014-01,0.159,
2014-04,0.151,
2014-07,0.155,
