"",BBK01.OEYK02L,BBK01.OEYK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:54,
2002-01,0.073,
2002-04,0.068,
2002-07,0.060,
2002-10,0.103,
2003-01,0.107,
2003-04,0.104,
2003-07,0.106,
2003-10,0.105,
2004-01,0.101,
2004-04,0.087,
2004-07,0.081,
2004-10,0.096,
2005-01,0.087,
2005-04,0.086,
2005-07,0.103,
2005-10,0.068,
2006-01,0.070,
2006-04,0.098,
2006-07,0.091,
2006-10,0.064,
2007-01,0.109,
2007-04,0.097,
2007-07,0.099,
2007-10,0.080,
2008-01,0.074,
2008-04,0.050,
2008-07,0.033,
2008-10,0.032,
2009-01,0.033,
2009-04,0.049,
2009-07,0.075,
2009-10,0.071,
2010-01,0.076,
2010-04,0.069,
2010-07,0.067,
2010-10,0.031,
2011-01,0.032,
2011-04,0.036,
2011-07,0.038,
2011-10,0.036,
2012-01,0.040,
2012-04,0.054,
2012-07,0.045,
2012-10,0.034,
2013-01,0.041,
2013-04,0.042,
2013-07,0.042,
2013-10,0.020,
2014-01,0.023,
2014-04,0.030,
2014-07,0.025,
