"",BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F3.S._T.M.N,BBFB1.Q.N.DE.W1.S1.S1.T.A.FA.P.F3.S._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Short-term debt-securities / Net / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:57:42,
1991-01,618.888,
1991-04,47.144,
1991-07,-175.663,
1991-10,267.108,
1992-01,-51.568,
1992-04,-143.354,
1992-07,107.645,
1992-10,165.501,
1993-01,294.768,
1993-04,-374.972,
1993-07,471.283,
1993-10,289.609,
1994-01,-54.817,
1994-04,339.431,
1994-07,448.538,
1994-10,2108.463,
1995-01,-458.343,
1995-04,458.980,
1995-07,-677.177,
1995-10,1714.206,
1996-01,-696.611,
1996-04,203.358,
1996-07,-600.112,
1996-10,705.227,
1997-01,634.578,
1997-04,-47.941,
1997-07,815.887,
1997-10,-998.039,
1998-01,921.711,
1998-04,-436.235,
1998-07,-66.809,
1998-10,2959.628,
1999-01,460.050,
1999-04,-1117.655,
1999-07,1205.483,
1999-10,122.343,
2000-01,-1717.146,
2000-04,-1448.671,
2000-07,-1645.843,
2000-10,3079.814,
2001-01,-6.099,
2001-04,996.636,
2001-07,424.418,
2001-10,-2910.166,
2002-01,4503.786,
2002-04,29.181,
2002-07,1755.860,
2002-10,-2397.031,
2003-01,1100.455,
2003-04,2689.949,
2003-07,-4602.531,
2003-10,-3222.343,
2004-01,1185.676,
2004-04,5859.437,
2004-07,7193.970,
2004-10,-2300.673,
2005-01,-3558.651,
2005-04,1227.046,
2005-07,5244.781,
2005-10,2176.065,
2006-01,-147.752,
2006-04,7567.151,
2006-07,1619.319,
2006-10,-1948.377,
2007-01,5816.650,
2007-04,2186.449,
2007-07,6547.583,
2007-10,11822.658,
2008-01,8215.134,
2008-04,1828.100,
2008-07,-2395.535,
2008-10,-25304.750,
2009-01,-5736.203,
2009-04,-3007.274,
2009-07,-2754.025,
2009-10,-2230.633,
2010-01,99.202,
2010-04,-3006.792,
2010-07,1977.816,
2010-10,-5190.373,
2011-01,3991.614,
2011-04,6570.790,
2011-07,3626.579,
2011-10,-9397.580,
2012-01,2877.036,
2012-04,-877.174,
2012-07,1782.782,
2012-10,-3887.351,
2013-01,3842.092,
2013-04,-237.455,
2013-07,-328.716,
2013-10,477.910,
2014-01,4895.326,
2014-04,195.947,
2014-07,-1653.590,
