"",BBK01.PQH360,BBK01.PQH360_FLAGS
"",Lending to domestic self-employed persons / Medium-term / Savings banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:16,
1968-10,0.570,
1969-01,0.578,
1969-04,0.610,
1969-07,0.627,
1969-10,0.647,
1970-01,0.664,
1970-04,0.698,
1970-07,0.728,
1970-10,0.763,
1971-01,0.777,
1971-04,0.827,
1971-07,0.867,
1971-10,0.894,
1972-01,0.903,
1972-04,0.959,
1972-07,0.980,
1972-10,1.015,
1973-01,1.058,
1973-04,1.123,
1973-07,1.139,
1973-10,1.131,
1974-01,1.115,
1974-04,1.139,
1974-07,1.142,
1974-10,1.127,
1975-01,1.120,
1975-04,1.181,
1975-07,1.247,
1975-10,1.315,
1976-01,1.371,
1976-04,1.511,
1976-07,1.602,
1976-10,1.688,
1977-01,1.747,
1977-04,1.843,
1977-07,1.915,
1977-10,1.980,
1978-01,2.004,
1978-04,2.117,
1978-07,2.188,
1978-10,2.233,
1979-01,2.257,
1979-04,2.357,
1979-07,2.408,
1979-10,2.429,
1980-01,2.440,
1980-04,2.482,
1980-07,2.511,
1980-10,2.520,
1981-01,2.527,
1981-04,2.570,
1981-07,2.621,
1981-10,2.683,
1982-01,2.650,
1982-04,2.701,
1982-07,2.730,
1982-10,2.778,
1983-01,2.726,
1983-04,2.763,
1983-07,2.799,
1983-10,2.928,
1984-01,2.942,
1984-04,2.997,
1984-07,3.012,
1984-10,3.002,
1985-01,2.946,
1985-04,2.929,
1985-07,2.907,
1985-10,2.836,
1986-01,2.763,
1986-04,2.735,
1986-07,2.695,
1986-10,2.673,
1987-01,2.625,
1987-04,2.609,
1987-07,2.580,
1987-10,2.548,
1988-01,2.513,
1988-04,2.552,
1988-07,2.569,
1988-10,2.597,
1989-01,2.561,
1989-04,2.583,
1989-07,2.559,
1989-10,2.653,
1990-01,2.666,
1990-04,2.746,
1990-07,2.819,
1990-10,2.963,
1991-01,3.029,
1991-04,3.166,
1991-07,3.322,
1991-10,3.505,
1992-01,3.544,
1992-04,3.667,
1992-07,3.840,
1992-10,4.033,
1993-01,3.981,
1993-04,3.972,
1993-07,3.970,
1993-10,3.897,
1994-01,3.812,
1994-04,3.874,
1994-07,3.933,
1994-10,3.975,
1995-01,3.894,
1995-04,3.973,
1995-07,3.997,
1995-10,4.082,
1996-01,4.037,
1996-04,4.072,
1996-07,4.161,
1996-10,4.271,
1997-01,4.255,
1997-04,4.295,
1997-07,4.284,
1997-10,4.254,
1998-01,4.170,
1998-04,4.193,
1998-07,4.198,
1998-10,4.233,
1999-01,7.834,
1999-04,8.454,
1999-07,7.741,
1999-10,7.520,
2000-01,7.449,
2000-04,7.547,
2000-07,7.611,
2000-10,7.607,
2001-01,7.978,
2001-04,7.926,
2001-07,7.844,
2001-10,7.797,
2002-01,7.665,
2002-04,7.619,
2002-07,7.555,
2002-10,7.355,
2003-01,7.284,
2003-04,7.220,
2003-07,7.193,
2003-10,7.007,
2004-01,6.858,
2004-04,6.784,
2004-07,6.664,
2004-10,6.538,
2005-01,6.490,
2005-04,6.574,
2005-07,6.554,
2005-10,6.542,
2006-01,6.422,
2006-04,6.411,
2006-07,6.358,
2006-10,6.304,
2007-01,6.178,
2007-04,6.196,
2007-07,6.130,
2007-10,6.074,
2008-01,5.974,
2008-04,5.950,
2008-07,5.858,
2008-10,5.787,
2009-01,5.539,
2009-04,5.702,
2009-07,5.784,
2009-10,5.926,
2010-01,5.946,
2010-04,6.086,
2010-07,6.092,
2010-10,6.165,
2011-01,6.142,
2011-04,6.221,
2011-07,6.322,
2011-10,6.332,
2012-01,6.365,
2012-04,6.437,
2012-07,6.488,
2012-10,6.465,
2013-01,6.410,
2013-04,6.432,
2013-07,6.593,
2013-10,6.516,
2014-01,6.471,
2014-04,6.485,
2014-07,6.483,
2014-10,6.504,
