"",BBK01.OELI08U,BBK01.OELI08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:15,
2002-01,1.709,
2002-04,1.672,
2002-07,1.672,
2002-10,1.756,
2003-01,1.799,
2003-04,1.796,
2003-07,1.817,
2003-10,1.837,
2004-01,1.844,
2004-04,1.805,
2004-07,1.803,
2004-10,1.858,
2005-01,1.863,
2005-04,1.864,
2005-07,1.868,
2005-10,1.915,
2006-01,1.931,
2006-04,1.896,
2006-07,1.877,
2006-10,1.822,
2007-01,1.790,
2007-04,1.785,
2007-07,1.773,
2007-10,1.774,
2008-01,1.776,
2008-04,1.739,
2008-07,1.705,
2008-10,1.708,
2009-01,1.707,
2009-04,1.679,
2009-07,1.698,
2009-10,1.761,
2010-01,1.782,
2010-04,1.820,
2010-07,1.830,
2010-10,1.864,
2011-01,1.861,
2011-04,1.856,
2011-07,1.862,
2011-10,1.890,
2012-01,1.903,
2012-04,1.939,
2012-07,1.988,
2012-10,2.027,
2013-01,2.088,
2013-04,2.094,
2013-07,2.082,
2013-10,2.067,
2014-01,2.042,
2014-04,2.031,
2014-07,2.029,
