"",BBK01.OEHL03N,BBK01.OEHL03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:43,
2002-01,9.271,
2002-04,9.302,
2002-07,9.407,
2002-10,9.405,
2003-01,9.233,
2003-04,9.044,
2003-07,8.569,
2003-10,7.973,
2004-01,7.645,
2004-04,7.329,
2004-07,7.302,
2004-10,7.192,
2005-01,6.989,
2005-04,6.820,
2005-07,6.362,
2005-10,6.467,
2006-01,6.657,
2006-04,6.694,
2006-07,7.055,
2006-10,7.356,
2007-01,7.959,
2007-04,8.444,
2007-07,9.383,
2007-10,10.251,
2008-01,11.258,
2008-04,11.919,
2008-07,12.847,
2008-10,13.959,
2009-01,11.149,
2009-04,8.747,
2009-07,6.993,
2009-10,5.685,
2010-01,5.104,
2010-04,4.682,
2010-07,4.610,
2010-10,4.583,
2011-01,4.577,
2011-04,4.715,
2011-07,4.849,
2011-10,4.947,
2012-01,4.831,
2012-04,4.467,
2012-07,4.094,
2012-10,3.539,
2013-01,3.269,
2013-04,3.002,
2013-07,2.884,
2013-10,2.746,
2014-01,2.629,
2014-04,2.557,
2014-07,2.519,
