"",BBK01.OEHO04N,BBK01.OEHO04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:23,
2002-01,-0.707,
2002-04,-0.828,
2002-07,-0.593,
2002-10,-0.509,
2003-01,-0.402,
2003-04,-0.838,
2003-07,-1.048,
2003-10,-0.923,
2004-01,-0.600,
2004-04,-0.573,
2004-07,-0.858,
2004-10,-0.621,
2005-01,-0.473,
2005-04,-0.824,
2005-07,-0.217,
2005-10,-0.411,
2006-01,0.360,
2006-04,-0.595,
2006-07,-1.148,
2006-10,-1.390,
2007-01,-2.018,
2007-04,-2.086,
2007-07,-1.732,
2007-10,-1.487,
2008-01,-1.252,
2008-04,-1.446,
2008-07,-1.740,
2008-10,-0.220,
2009-01,1.100,
2009-04,0.995,
2009-07,1.083,
2009-10,1.063,
2010-01,1.285,
2010-04,0.300,
2010-07,-0.077,
2010-10,-0.124,
2011-01,-0.126,
2011-04,-0.497,
2011-07,-0.824,
2011-10,-0.824,
2012-01,-0.637,
2012-04,-0.341,
2012-07,-0.296,
2012-10,-0.210,
2013-01,0.081,
2013-04,-0.046,
2013-07,-0.378,
2013-10,-0.162,
2014-01,-0.128,
2014-04,-0.463,
2014-07,-0.350,
