"",BBK01.OEHL04T,BBK01.OEHL04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:52,
2002-01,0.393,
2002-04,0.370,
2002-07,0.372,
2002-10,0.399,
2003-01,0.414,
2003-04,0.385,
2003-07,0.374,
2003-10,0.338,
2004-01,0.337,
2004-04,0.332,
2004-07,0.328,
2004-10,0.310,
2005-01,0.309,
2005-04,0.310,
2005-07,0.309,
2005-10,0.285,
2006-01,0.287,
2006-04,0.284,
2006-07,0.285,
2006-10,0.279,
2007-01,0.295,
2007-04,0.296,
2007-07,0.317,
2007-10,0.313,
2008-01,0.343,
2008-04,0.357,
2008-07,0.360,
2008-10,0.380,
2009-01,0.339,
2009-04,0.297,
2009-07,0.259,
2009-10,0.211,
2010-01,0.196,
2010-04,0.185,
2010-07,0.180,
2010-10,0.165,
2011-01,0.163,
2011-04,0.158,
2011-07,0.162,
2011-10,0.163,
2012-01,0.155,
2012-04,0.150,
2012-07,0.147,
2012-10,0.143,
2013-01,0.137,
2013-04,0.128,
2013-07,0.121,
2013-10,0.116,
2014-01,0.113,
2014-04,0.110,
2014-07,0.107,
