"",BBK01.OEAA11M,BBK01.OEAA11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:42,
2002-01,27.600,
2002-04,28.499,
2002-07,27.364,
2002-10,26.362,
2003-01,27.121,
2003-04,26.843,
2003-07,26.000,
2003-10,24.892,
2004-01,24.304,
2004-04,26.134,
2004-07,25.375,
2004-10,23.836,
2005-01,25.276,
2005-04,24.916,
2005-07,23.140,
2005-10,22.275,
2006-01,22.897,
2006-04,23.495,
2006-07,23.124,
2006-10,22.868,
2007-01,22.784,
2007-04,23.585,
2007-07,23.871,
2007-10,23.761,
2008-01,25.948,
2008-04,24.958,
2008-07,24.414,
2008-10,24.679,
2009-01,26.404,
2009-04,25.243,
2009-07,23.065,
2009-10,21.536,
2010-01,22.852,
2010-04,20.446,
2010-07,20.420,
2010-10,20.680,
2011-01,21.473,
2011-04,22.438,
2011-07,21.893,
2011-10,22.217,
2012-01,21.570,
2012-04,21.669,
2012-07,21.845,
2012-10,21.463,
2013-01,20.955,
2013-04,21.000,
2013-07,20.759,
2013-10,20.575,
2014-01,19.431,
2014-04,20.094,
2014-07,21.285,
