"",BBK01.OEAM04M,BBK01.OEAM04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:30,
2002-01,1.701,
2002-04,1.747,
2002-07,1.594,
2002-10,1.444,
2003-01,1.126,
2003-04,1.366,
2003-07,0.899,
2003-10,1.150,
2004-01,0.844,
2004-04,0.986,
2004-07,0.793,
2004-10,1.315,
2005-01,0.738,
2005-04,0.875,
2005-07,0.786,
2005-10,1.145,
2006-01,1.202,
2006-04,0.989,
2006-07,1.382,
2006-10,1.763,
2007-01,1.025,
2007-04,1.356,
2007-07,1.706,
2007-10,2.438,
2008-01,2.626,
2008-04,2.717,
2008-07,2.684,
2008-10,4.125,
2009-01,2.940,
2009-04,3.032,
2009-07,1.679,
2009-10,2.182,
2010-01,1.580,
2010-04,2.742,
2010-07,2.425,
2010-10,2.113,
2011-01,2.515,
2011-04,3.270,
2011-07,3.224,
2011-10,3.768,
2012-01,2.972,
2012-04,4.377,
2012-07,4.120,
2012-10,3.020,
2013-01,3.007,
2013-04,5.092,
2013-07,3.796,
2013-10,4.082,
2014-01,5.733,
2014-04,5.434,
2014-07,6.990,
