"",BBFB1.Q.N.DE.CZ.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.CZ.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Czech Republic,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:43,
1999-01,171.786,
1999-04,239.438,
1999-07,256.215,
1999-10,173.762,
2000-01,225.070,
2000-04,313.705,
2000-07,335.687,
2000-10,227.658,
2001-01,255.255,
2001-04,355.778,
2001-07,380.708,
2001-10,258.191,
2002-01,184.419,
2002-04,261.046,
2002-07,288.196,
2002-10,201.137,
2003-01,287.976,
2003-04,407.309,
2003-07,425.695,
2003-10,309.213,
2004-01,298.977,
2004-04,439.041,
2004-07,392.986,
2004-10,464.120,
2005-01,467.828,
2005-04,437.955,
2005-07,568.020,
2005-10,406.735,
2006-01,407.513,
2006-04,541.602,
2006-07,506.855,
2006-10,409.539,
2007-01,385.296,
2007-04,425.246,
2007-07,528.537,
2007-10,416.229,
2008-01,480.187,
2008-04,519.087,
2008-07,510.172,
2008-10,485.314,
2009-01,426.911,
2009-04,357.416,
2009-07,587.694,
2009-10,399.290,
2010-01,388.400,
2010-04,419.128,
2010-07,426.182,
2010-10,382.102,
2011-01,297.611,
2011-04,402.855,
2011-07,461.660,
2011-10,427.634,
2012-01,361.294,
2012-04,325.569,
2012-07,480.105,
2012-10,345.047,
2013-01,428.010,
2013-04,351.864,
2013-07,483.610,
2013-10,453.182,
2014-01,373.279,Provisional value
2014-04,441.754,Provisional value
2014-07,524.229,Provisional value
2014-10,440.880,Provisional value
