"",BBK01.OEHI03J,BBK01.OEHI03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:38,
2002-01,0.774,
2002-04,0.807,
2002-07,0.781,
2002-10,0.732,
2003-01,0.748,
2003-04,0.729,
2003-07,0.761,
2003-10,0.713,
2004-01,0.726,
2004-04,0.794,
2004-07,0.701,
2004-10,0.684,
2005-01,0.713,
2005-04,0.854,
2005-07,0.810,
2005-10,0.784,
2006-01,0.968,
2006-04,0.987,
2006-07,0.934,
2006-10,0.936,
2007-01,0.938,
2007-04,1.182,
2007-07,1.182,
2007-10,1.095,
2008-01,1.273,
2008-04,1.634,
2008-07,1.466,
2008-10,1.359,
2009-01,1.198,
2009-04,1.206,
2009-07,1.073,
2009-10,0.920,
2010-01,0.958,
2010-04,0.924,
2010-07,0.871,
2010-10,0.940,
2011-01,1.033,
2011-04,1.047,
2011-07,1.106,
2011-10,1.052,
2012-01,1.106,
2012-04,1.040,
2012-07,0.997,
2012-10,0.974,
2013-01,1.010,
2013-04,1.205,
2013-07,1.006,
2013-10,0.788,
2014-01,0.850,
2014-04,0.831,
2014-07,0.807,
