"",BBK01.OEYB13L,BBK01.OEYB13L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:09,
2002-01,17.317,
2002-04,16.706,
2002-07,16.898,
2002-10,16.859,
2003-01,18.344,
2003-04,18.307,
2003-07,19.393,
2003-10,18.628,
2004-01,18.181,
2004-04,18.631,
2004-07,18.213,
2004-10,17.751,
2005-01,16.796,
2005-04,16.322,
2005-07,15.872,
2005-10,14.323,
2006-01,13.686,
2006-04,12.833,
2006-07,12.777,
2006-10,12.233,
2007-01,11.716,
2007-04,12.048,
2007-07,13.239,
2007-10,12.728,
2008-01,12.325,
2008-04,11.804,
2008-07,11.284,
2008-10,11.328,
2009-01,10.966,
2009-04,10.612,
2009-07,10.279,
2009-10,9.825,
2010-01,9.553,
2010-04,9.297,
2010-07,8.930,
2010-10,8.588,
2011-01,7.843,
2011-04,7.584,
2011-07,7.227,
2011-10,6.919,
2012-01,6.730,
2012-04,6.490,
2012-07,6.173,
2012-10,5.839,
2013-01,5.658,
2013-04,5.408,
2013-07,5.305,
2013-10,5.046,
2014-01,4.887,
2014-04,4.752,
2014-07,4.680,
