"",BBFN1.M.DE.N.1.A.EE.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EE.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Estonia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:37,
1994-07,0.014,
1994-08,0.016,
1994-09,0.016,
1994-10,0.015,
1994-11,0.017,
1994-12,0.017,
1995-01,0.016,
1995-02,0.015,
1995-03,0.015,
1995-04,0.017,
1995-05,0.017,
1995-06,0.016,
1995-07,0.018,
1995-08,0.017,
1995-09,0.018,
1995-10,0.018,
1995-11,0.020,
1995-12,0.016,
1996-01,0.016,
1996-02,0.018,
1996-03,0.018,
1996-04,0.021,
1996-05,0.020,
1996-06,0.019,
1996-07,0.020,
1996-08,0.021,
1996-09,0.022,
1996-10,0.021,
1996-11,0.028,
1996-12,0.026,
1997-01,0.026,
1997-02,0.029,
1997-03,0.028,
1997-04,0.030,
1997-05,0.033,
1997-06,0.033,
1997-07,0.034,
1997-08,0.037,
1997-09,0.034,
1997-10,0.041,
1997-11,0.046,
1997-12,0.045,
1998-01,0.050,
1998-02,0.049,
1998-03,0.050,
1998-04,0.044,
1998-05,0.048,
1998-06,0.047,
1998-07,0.052,
1998-08,0.053,
1998-09,0.050,
1998-10,0.045,
1998-11,0.048,
1998-12,0.041,
1999-01,0.039,
1999-02,0.042,
1999-03,0.044,
1999-04,0.043,
1999-05,0.044,
1999-06,0.042,
1999-07,0.044,
1999-08,0.044,
1999-09,0.043,
1999-10,0.048,
1999-11,0.052,
1999-12,0.049,
2000-01,0.048,
2000-02,0.047,
2000-03,0.048,
2000-04,0.049,
2000-05,0.050,
2000-06,0.054,
2000-07,0.059,
2000-08,0.062,
2000-09,0.065,
2000-10,0.070,
2000-11,0.069,
2000-12,0.061,
2001-01,0.058,
2001-02,0.059,
2001-03,0.063,
2001-04,0.067,
2001-05,0.068,
2001-06,0.069,
2001-07,0.069,
2001-08,0.065,
2001-09,0.067,
2001-10,0.076,
2001-11,0.078,
2001-12,0.069,
2002-01,0.070,
2002-02,0.061,
2002-03,0.066,
2002-04,0.071,
2002-05,0.071,
2002-06,0.068,
2002-07,0.061,
2002-08,0.061,
2002-09,0.061,
2002-10,0.065,
2002-11,0.065,
2002-12,0.057,
2003-01,0.058,
2003-02,0.059,
2003-03,0.060,
2003-04,0.059,
2003-05,0.062,
2003-06,0.061,
2003-07,0.065,
2003-08,0.071,
2003-09,0.065,
2003-10,0.065,
2003-11,0.066,
2003-12,0.056,
2004-01,0.058,
2004-02,0.061,
2004-03,0.077,
2004-04,0.084,
2004-05,0.071,
2004-06,0.078,
2004-07,0.075,
2004-08,0.075,
2004-09,0.081,
2004-10,0.083,
2004-11,0.077,
2004-12,0.073,
2005-01,0.076,
2005-02,0.095,
2005-03,0.101,
2005-04,0.094,
2005-05,0.095,
2005-06,0.119,
2005-07,0.128,
2005-08,0.121,
2005-09,0.125,
2005-10,0.127,
2005-11,0.122,
2005-12,0.109,
2006-01,0.108,
2006-02,0.110,
2006-03,0.117,
2006-04,0.119,
2006-05,0.131,
2006-06,0.142,
2006-07,0.147,
2006-08,0.122,
2006-09,0.145,
2006-10,0.135,
2006-11,0.138,
2006-12,0.132,
2007-01,0.110,
2007-02,0.118,
2007-03,0.130,
2007-04,0.126,
2007-05,0.134,
2007-06,0.128,
2007-07,0.134,
2007-08,0.130,
2007-09,0.124,
2007-10,0.135,
2007-11,0.139,
2007-12,0.109,
2008-01,0.108,
2008-02,0.123,
2008-03,0.123,
2008-04,0.140,
2008-05,0.135,
2008-06,0.135,
2008-07,0.126,
2008-08,0.116,
2008-09,0.121,
2008-10,0.116,
2008-11,0.112,
2008-12,0.097,
2009-01,0.095,
2009-02,0.096,
2009-03,0.093,
2009-04,0.097,
2009-05,0.096,
2009-06,0.092,
2009-07,0.091,
2009-08,0.097,
2009-09,0.092,
2009-10,0.104,
2009-11,0.094,
2009-12,0.078,
2010-01,0.085,
2010-02,0.089,
2010-03,0.094,
2010-04,0.103,
2010-05,0.116,
2010-06,0.115,
2010-07,0.111,
2010-08,0.111,
2010-09,0.116,
2010-10,0.115,
2010-11,0.120,
2010-12,0.110,
2011-01,0.103,
2011-02,0.106,
2011-03,0.109,
2011-04,0.114,
2011-05,0.125,
2011-06,0.136,
2011-07,0.122,
2011-08,0.121,
2011-09,0.123,
2011-10,0.115,
2011-11,0.120,
2011-12,0.092,
2012-01,0.091,
2012-02,0.108,
2012-03,0.114,
2012-04,0.159,
2012-05,0.159,
2012-06,0.148,
2012-07,0.152,
2012-08,0.135,
2012-09,0.134,
2012-10,0.134,
2012-11,0.130,
2012-12,0.134,
2013-01,0.135,
2013-02,0.134,
2013-03,0.145,
2013-04,0.149,
2013-05,0.149,
2013-06,0.149,
2013-07,0.145,
2013-08,0.146,
2013-09,0.131,
2013-10,0.151,
2013-11,0.142,
2013-12,0.123,
2014-01,0.115,
2014-02,0.119,
2014-03,0.133,
2014-04,0.132,
2014-05,0.134,
2014-06,0.135,
2014-07,0.130,
2014-08,0.134,
2014-09,0.125,
2014-10,0.121,
2014-11,0.126,
2014-12,0.106,
