"",BBK01.OEAC57U,BBK01.OEAC57U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:52,
2002-01,2.060,
2002-04,2.081,
2002-07,2.048,
2002-10,2.030,
2003-01,2.039,
2003-04,2.000,
2003-07,2.687,
2003-10,2.712,
2004-01,2.657,
2004-04,2.361,
2004-07,2.390,
2004-10,2.373,
2005-01,2.463,
2005-04,2.456,
2005-07,2.437,
2005-10,2.420,
2006-01,2.435,
2006-04,2.485,
2006-07,2.511,
2006-10,2.536,
2007-01,2.550,
2007-04,2.579,
2007-07,2.582,
2007-10,2.521,
2008-01,2.569,
2008-04,2.570,
2008-07,2.587,
2008-10,2.568,
2009-01,2.571,
2009-04,2.954,
2009-07,2.964,
2009-10,2.827,
2010-01,2.997,
2010-04,2.991,
2010-07,3.011,
2010-10,3.004,
2011-01,3.103,
2011-04,3.088,
2011-07,3.103,
2011-10,3.109,
2012-01,3.104,
2012-04,3.228,
2012-07,3.232,
2012-10,3.258,
2013-01,3.237,
2013-04,3.221,
2013-07,3.335,
2013-10,3.378,
2014-01,3.359,
2014-04,3.302,
2014-07,3.200,
