"",BBK01.OEBI10L,BBK01.OEBI10L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:15,
2002-01,5.203,
2002-04,4.571,
2002-07,4.586,
2002-10,4.438,
2003-01,4.217,
2003-04,4.028,
2003-07,6.905,
2003-10,2.750,
2004-01,0.534,
2004-04,0.433,
2004-07,0.418,
2004-10,0.379,
2005-01,1.297,
2005-04,0.919,
2005-07,0.344,
2005-10,0.880,
2006-01,0.921,
2006-04,1.002,
2006-07,1.124,
2006-10,1.115,
2007-01,1.148,
2007-04,1.192,
2007-07,1.158,
2007-10,1.470,
2008-01,1.398,
2008-04,1.350,
2008-07,0.950,
2008-10,1.018,
2009-01,1.046,
2009-04,1.144,
2009-07,1.161,
2009-10,1.149,
2010-01,1.101,
2010-04,1.038,
2010-07,1.002,
2010-10,0.966,
2011-01,0.910,
2011-04,1.288,
2011-07,1.239,
2011-10,1.199,
2012-01,0.977,
2012-04,0.930,
2012-07,1.113,
2012-10,1.048,
2013-01,0.987,
2013-04,0.958,
2013-07,0.938,
2013-10,0.902,
2014-01,0.819,
2014-04,0.899,
2014-07,1.331,
