"",BBEX3.M.CDF.USD.CA.AA.A01,BBEX3.M.CDF.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in the Democratic Republic of the Congo / USD 1 = CDF ... (buying),
unit,CDF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:40,
2009-01,700.9942,
2009-02,737.4556,
2009-03,807.4002,
2009-04,821.5362,
2009-05,768.5475,
2009-06,744.3742,
2009-07,775.5085,
2009-08,812.0750,comment
2009-09,847.2148,
2009-10,868.9002,
2009-11,896.6585,
2009-12,888.5757,
2010-01,905.3282,
2010-02,902.2300,
2010-03,885.4381,
2010-04,877.4220,
2010-05,880.0940,
2010-06,885.3237,
2010-07,880.0844,
2010-08,885.6672,
2010-09,886.7483,
2010-10,891.0344,
2010-11,895.3947,
2010-12,896.8269,
2011-01,902.4053,
2011-02,905.5719,
2011-03,900.7635,
2011-04,902.6064,
2011-05,908.2458,
2011-06,901.4700,
2011-07,900.6180,
2011-08,902.1744,
2011-09,904.4524,
2011-10,902.3751,
2011-11,870.4218,
2011-12,892.6045,
2012-01,897.7214,
2012-02,902.7123,
2012-03,903.7514,
2012-04,897.9417,
2012-05,906.2146,
2012-06,902.4013,
2012-07,894.7195,
2012-08,902.9759,
2012-09,898.4303,
2012-10,901.3270,
2012-11,899.2584,
2012-12,898.9753,
2013-01,894.8568,
2013-02,901.0365,
2013-03,897.9751,
2013-04,900.3985,
2013-05,899.7953,
2013-06,898.4562,
2013-07,898.0816,
2013-08,897.6160,
2013-09,903.1852,
2013-10,909.0438,
2013-11,907.9868,
2013-12,906.9932,
2014-01,906.5201,
2014-02,912.3914,
2014-03,905.4683,
2014-04,907.5267,
2014-05,903.9288,
2014-06,909.0095,
2014-07,905.4698,
2014-08,907.2925,
2014-09,906.8184,
2014-10,908.6812,
2014-11,906.0812,
2014-12,906.0188,
2015-01,905.6058,
2015-02,907.1109,
"","General: Until December 2008, only indicative rates (middle rates) were available; see BBEX3:M:CDF:USD:CA:AC:A01.",
"","Source: Banque Centrale du Congo, Kinshasa",
"",Comment on 2009-08: Exchange rate as of 7 September 2009.,
