"",BBFN1.M.DE.N.1.L.E1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.E1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:41,
1995-01,46.158,
1995-02,46.173,
1995-03,48.339,
1995-04,47.101,
1995-05,48.338,
1995-06,47.617,
1995-07,47.623,
1995-08,47.600,
1995-09,49.250,
1995-10,48.925,
1995-11,49.854,
1995-12,48.105,
1996-01,47.805,
1996-02,51.052,
1996-03,50.282,
1996-04,50.529,
1996-05,54.123,
1996-06,51.455,
1996-07,49.621,
1996-08,50.146,
1996-09,53.622,
1996-10,53.628,
1996-11,54.606,
1996-12,55.459,
1997-01,52.439,
1997-02,55.687,
1997-03,57.665,
1997-04,58.850,
1997-05,59.010,
1997-06,61.731,
1997-07,62.651,
1997-08,59.245,
1997-09,59.410,
1997-10,62.560,
1997-11,60.679,
1997-12,64.304,
1998-01,62.425,
1998-02,62.174,
1998-03,66.334,
1998-04,70.908,
1998-05,71.387,
1998-06,66.888,
1998-07,65.401,
1998-08,65.298,
1998-09,64.083,
1998-10,66.119,
1998-11,67.046,
1998-12,63.444,
1999-01,64.053,
1999-02,65.045,
1999-03,69.394,
1999-04,72.141,
1999-05,72.792,
1999-06,78.071,
1999-07,78.048,
1999-08,81.825,
1999-09,81.116,
1999-10,84.460,
1999-11,85.364,
1999-12,99.117,
2000-01,101.406,
2000-02,110.167,
2000-03,112.679,
2000-04,115.296,
2000-05,122.927,
2000-06,130.649,
2000-07,119.351,
2000-08,137.308,
2000-09,163.704,
2000-10,171.921,
2000-11,164.899,
2000-12,159.264,
2001-01,168.022,
2001-02,169.154,
2001-03,160.276,
2001-04,161.964,
2001-05,155.735,
2001-06,159.416,
2001-07,163.631,
2001-08,167.465,
2001-09,168.000,
2001-10,167.933,
2001-11,160.719,
2001-12,164.168,
2002-01,157.676,
2002-02,165.172,
2002-03,167.010,
2002-04,169.035,
2002-05,162.288,
2002-06,158.883,
2002-07,153.198,
2002-08,151.949,
2002-09,155.952,
2002-10,155.686,
2002-11,152.563,
2002-12,146.657,
2003-01,156.501,
2003-02,155.687,
2003-03,156.822,
2003-04,160.135,
2003-05,163.488,
2003-06,164.706,
2003-07,167.647,
2003-08,167.050,
2003-09,163.659,
2003-10,152.688,
2003-11,158.036,
2003-12,160.053,
2004-01,163.712,
2004-02,170.019,
2004-03,161.975,
2004-04,157.596,
2004-05,155.931,
2004-06,153.591,
2004-07,154.962,
2004-08,154.028,
2004-09,150.576,
2004-10,147.681,
2004-11,147.162,
2004-12,143.984,
2005-01,141.150,
2005-02,140.795,
2005-03,140.514,
2005-04,135.326,
2005-05,137.566,
2005-06,140.867,
2005-07,141.080,
2005-08,145.048,
2005-09,147.422,
2005-10,150.915,
2005-11,151.705,
2005-12,160.678,
2006-01,162.263,
2006-02,171.592,
2006-03,171.151,
2006-04,169.670,
2006-05,178.369,
2006-06,180.236,
2006-07,178.123,
2006-08,180.407,
2006-09,198.614,
2006-10,195.180,
2006-11,196.863,
2006-12,196.585,
2007-01,206.290,
2007-02,217.693,
2007-03,211.737,
2007-04,211.095,
2007-05,218.133,
2007-06,226.432,
2007-07,222.156,
2007-08,215.492,
2007-09,220.894,
2007-10,211.351,
2007-11,208.478,
2007-12,203.246,
2008-01,203.733,
2008-02,206.737,
2008-03,208.788,
2008-04,207.614,
2008-05,204.873,
2008-06,215.027,
2008-07,203.357,
2008-08,201.764,
2008-09,203.492,
2008-10,214.218,
2008-11,212.117,
2008-12,214.421,
2009-01,204.179,
2009-02,201.156,
2009-03,202.733,
2009-04,208.308,
2009-05,200.644,
2009-06,199.658,
2009-07,192.907,
2009-08,192.188,
2009-09,194.433,
2009-10,197.563,
2009-11,196.663,
2009-12,214.961,
2010-01,199.206,
2010-02,200.625,
2010-03,202.517,
2010-04,201.371,
2010-05,208.831,
2010-06,211.074,
2010-07,216.799,
2010-08,223.542,
2010-09,231.724,
2010-10,226.588,
2010-11,230.883,
2010-12,229.588,
2011-01,236.392,
2011-02,227.874,
2011-03,226.251,
2011-04,233.794,
2011-05,237.558,
2011-06,248.850,
2011-07,257.266,
2011-08,266.258,
2011-09,284.188,
2011-10,264.565,
2011-11,273.353,
2011-12,276.439,
2012-01,275.189,
2012-02,271.159,
2012-03,288.170,
2012-04,292.239,
2012-05,298.909,
2012-06,306.968,
2012-07,303.888,
2012-08,289.049,
2012-09,299.618,
2012-10,298.810,
2012-11,300.550,
2012-12,296.968,
2013-01,298.096,
2013-02,298.147,
2013-03,308.313,
2013-04,322.363,
2013-05,320.367,
2013-06,329.464,
2013-07,321.556,
2013-08,308.354,
2013-09,309.776,
2013-10,295.421,
2013-11,301.122,
2013-12,286.389,
2014-01,291.908,
2014-02,292.314,
2014-03,297.002,
2014-04,301.203,
2014-05,300.449,
2014-06,303.334,
2014-07,309.236,
2014-08,309.033,
2014-09,297.098,
2014-10,289.533,
2014-11,292.969,
2014-12,275.056,
