"",BBK01.OEYB24K,BBK01.OEYB24K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:04,
2002-01,14.506,
2002-04,14.517,
2002-07,16.641,
2002-10,15.746,
2003-01,15.613,
2003-04,15.755,
2003-07,15.576,
2003-10,15.427,
2004-01,15.960,
2004-04,15.858,
2004-07,15.269,
2004-10,14.419,
2005-01,14.315,
2005-04,14.856,
2005-07,14.710,
2005-10,14.858,
2006-01,14.942,
2006-04,14.713,
2006-07,14.622,
2006-10,14.207,
2007-01,14.224,
2007-04,14.335,
2007-07,13.941,
2007-10,13.900,
2008-01,13.760,
2008-04,13.383,
2008-07,13.260,
2008-10,12.853,
2009-01,12.428,
2009-04,12.218,
2009-07,11.976,
2009-10,11.632,
2010-01,11.365,
2010-04,11.019,
2010-07,10.822,
2010-10,10.587,
2011-01,10.974,
2011-04,10.767,
2011-07,10.750,
2011-10,10.556,
2012-01,10.371,
2012-04,9.405,
2012-07,9.212,
2012-10,9.134,
2013-01,8.749,
2013-04,9.212,
2013-07,8.567,
2013-10,8.397,
2014-01,8.262,
2014-04,7.766,
2014-07,7.610,
