"",BBK01.OEHJ04U,BBK01.OEHJ04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:36,
2002-01,0.364,
2002-04,0.363,
2002-07,0.346,
2002-10,0.369,
2003-01,0.345,
2003-04,0.317,
2003-07,0.292,
2003-10,0.284,
2004-01,0.271,
2004-04,0.262,
2004-07,0.250,
2004-10,0.245,
2005-01,0.230,
2005-04,0.231,
2005-07,0.247,
2005-10,0.291,
2006-01,0.290,
2006-04,0.255,
2006-07,0.290,
2006-10,0.284,
2007-01,0.318,
2007-04,0.317,
2007-07,0.358,
2007-10,0.375,
2008-01,0.406,
2008-04,0.395,
2008-07,0.426,
2008-10,0.421,
2009-01,0.423,
2009-04,0.345,
2009-07,0.228,
2009-10,0.192,
2010-01,0.185,
2010-04,0.158,
2010-07,0.162,
2010-10,0.167,
2011-01,0.200,
2011-04,0.217,
2011-07,0.229,
2011-10,0.235,
2012-01,0.195,
2012-04,0.165,
2012-07,0.139,
2012-10,0.132,
2013-01,0.121,
2013-04,0.127,
2013-07,0.123,
2013-10,0.105,
2014-01,0.107,
2014-04,0.108,
2014-07,0.102,
