"",BBK01.OEAE03O,BBK01.OEAE03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:49,
2002-01,1.794,
2002-04,1.643,
2002-07,1.102,
2002-10,1.146,
2003-01,1.192,
2003-04,1.162,
2003-07,1.320,
2003-10,1.288,
2004-01,1.459,
2004-04,1.414,
2004-07,1.409,
2004-10,1.410,
2005-01,1.417,
2005-04,1.404,
2005-07,1.408,
2005-10,1.277,
2006-01,1.327,
2006-04,1.235,
2006-07,1.224,
2006-10,1.126,
2007-01,1.295,
2007-04,1.249,
2007-07,1.501,
2007-10,1.456,
2008-01,1.700,
2008-04,1.664,
2008-07,1.250,
2008-10,0.835,
2009-01,0.843,
2009-04,0.949,
2009-07,0.852,
2009-10,0.887,
2010-01,0.950,
2010-04,1.031,
2010-07,1.020,
2010-10,1.135,
2011-01,1.083,
2011-04,1.110,
2011-07,1.028,
2011-10,1.009,
2012-01,1.091,
2012-04,1.099,
2012-07,1.078,
2012-10,1.134,
2013-01,1.077,
2013-04,1.059,
2013-07,1.035,
2013-10,0.964,
2014-01,1.013,
2014-04,1.078,
2014-07,0.955,
