"",BBK01.OXH8Z3,BBK01.OXH8Z3_FLAGS
"",Trading portfolio derivatives (included in other liabilities) / Savings banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:43,
2010-12,1.711,
2011-01,1.433,
2011-02,1.391,
2011-03,1.227,
2011-04,1.226,
2011-05,1.448,
2011-06,1.398,
2011-07,1.605,
2011-08,1.771,
2011-09,1.837,
2011-10,1.758,
2011-11,1.721,
2011-12,1.857,
2012-01,1.840,
2012-02,1.934,
2012-03,1.893,
2012-04,1.829,
2012-05,2.030,
2012-06,1.914,
2012-07,2.029,
2012-08,2.043,
2012-09,2.032,
2012-10,1.983,
2012-11,1.999,
2012-12,2.005,
2013-01,1.773,
2013-02,2.015,
2013-03,2.035,
2013-04,2.044,
2013-05,1.721,
2013-06,1.574,
2013-07,1.556,
2013-08,1.478,
2013-09,1.513,
2013-10,1.514,
2013-11,1.503,
2013-12,0.048,
2014-01,0.053,
2014-02,0.056,
2014-03,0.057,
2014-04,0.051,
2014-05,0.059,
2014-06,0.058,
2014-07,0.057,
2014-08,0.059,
2014-09,0.061,
2014-10,0.055,
2014-11,0.057,
2014-12,0.055,Provisional value
