"",BBK01.OEBB02R,BBK01.OEBB02R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:25,
2002-01,1.238,
2002-04,1.252,
2002-07,1.326,
2002-10,1.387,
2003-01,1.306,
2003-04,1.233,
2003-07,1.231,
2003-10,1.138,
2004-01,1.154,
2004-04,1.203,
2004-07,1.195,
2004-10,1.177,
2005-01,1.177,
2005-04,1.165,
2005-07,1.114,
2005-10,1.031,
2006-01,0.970,
2006-04,0.966,
2006-07,0.925,
2006-10,0.890,
2007-01,0.922,
2007-04,0.936,
2007-07,0.853,
2007-10,0.867,
2008-01,1.862,
2008-04,0.993,
2008-07,1.017,
2008-10,0.921,
2009-01,0.826,
2009-04,0.813,
2009-07,0.848,
2009-10,0.809,
2010-01,0.796,
2010-04,0.828,
2010-07,0.738,
2010-10,0.665,
2011-01,0.697,
2011-04,0.699,
2011-07,0.666,
2011-10,0.677,
2012-01,0.675,
2012-04,0.706,
2012-07,0.689,
2012-10,0.692,
2013-01,0.751,
2013-04,0.759,
2013-07,0.708,
2013-10,0.721,
2014-01,0.750,
2014-04,0.791,
2014-07,0.757,
