"",BBFN1.M.DE.N.1.A.QA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.QA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Qatar,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:27:08,
1994-12,0.144,
1995-01,0.153,
1995-02,0.164,
1995-03,0.163,
1995-04,0.130,
1995-05,0.133,
1995-06,0.176,
1995-07,0.172,
1995-08,0.206,
1995-09,0.240,
1995-10,0.280,
1995-11,0.287,
1995-12,0.107,
1996-01,0.106,
1996-02,0.116,
1996-03,0.119,
1996-04,0.123,
1996-05,0.123,
1996-06,0.121,
1996-07,0.120,
1996-08,0.132,
1996-09,0.138,
1996-10,0.152,
1996-11,0.149,
1996-12,0.147,
1997-01,0.142,
1997-02,0.144,
1997-03,0.154,
1997-04,0.154,
1997-05,0.148,
1997-06,0.041,
1997-07,0.039,
1997-08,0.037,
1997-09,0.045,
1997-10,0.045,
1997-11,0.052,
1997-12,0.038,
1998-01,0.054,
1998-02,0.052,
1998-03,0.061,
1998-04,0.061,
1998-05,0.061,
1998-06,0.056,
1998-07,0.058,
1998-08,0.056,
1998-09,0.062,
1998-10,0.065,
1998-11,0.069,
1998-12,0.071,
1999-01,0.066,
1999-02,0.067,
1999-03,0.076,
1999-04,0.086,
1999-05,0.072,
1999-06,0.082,
1999-07,0.078,
1999-08,0.081,
1999-09,0.089,
1999-10,0.085,
1999-11,0.098,
1999-12,0.115,
2000-01,0.117,
2000-02,0.116,
2000-03,0.129,
2000-04,0.134,
2000-05,0.143,
2000-06,0.144,
2000-07,0.152,
2000-08,0.162,
2000-09,0.177,
2000-10,0.178,
2000-11,0.181,
2000-12,0.157,
2001-01,0.156,
2001-02,0.156,
2001-03,0.166,
2001-04,0.162,
2001-05,0.154,
2001-06,0.151,
2001-07,0.154,
2001-08,0.057,
2001-09,0.073,
2001-10,0.067,
2001-11,0.069,
2001-12,0.075,
2002-01,0.082,
2002-02,0.087,
2002-03,0.080,
2002-04,0.083,
2002-05,0.084,
2002-06,0.091,
2002-07,0.089,
2002-08,0.104,
2002-09,0.115,
2002-10,0.129,
2002-11,0.138,
2002-12,0.136,
2003-01,0.152,
2003-02,0.172,
2003-03,0.192,
2003-04,0.197,
2003-05,0.204,
2003-06,0.217,
2003-07,0.232,
2003-08,0.237,
2003-09,0.244,
2003-10,0.252,
2003-11,0.267,
2003-12,0.264,
2004-01,0.269,
2004-02,0.269,
2004-03,0.277,
2004-04,0.279,
2004-05,0.284,
2004-06,0.289,
2004-07,0.288,
2004-08,0.291,
2004-09,0.300,
2004-10,0.299,
2004-11,0.306,
2004-12,0.329,
2005-01,0.101,
2005-02,0.101,
2005-03,0.108,
2005-04,0.116,
2005-05,0.092,
2005-06,0.093,
2005-07,0.103,
2005-08,0.093,
2005-09,0.085,
2005-10,0.096,
2005-11,0.105,
2005-12,0.105,
2006-01,0.104,
2006-02,0.126,
2006-03,0.123,
2006-04,0.116,
2006-05,0.126,
2006-06,0.133,
2006-07,0.144,
2006-08,0.163,
2006-09,0.193,
2006-10,0.172,
2006-11,0.146,
2006-12,0.153,
2007-01,0.151,
2007-02,0.149,
2007-03,0.167,
2007-04,0.162,
2007-05,0.145,
2007-06,0.190,
2007-07,0.186,
2007-08,0.243,
2007-09,0.249,
2007-10,0.232,
2007-11,0.240,
2007-12,0.246,
2008-01,0.234,
2008-02,0.243,
2008-03,0.253,
2008-04,0.250,
2008-05,0.237,
2008-06,0.267,
2008-07,0.280,
2008-08,0.276,
2008-09,0.322,
2008-10,0.295,
2008-11,0.335,
2008-12,0.409,
2009-01,0.415,
2009-02,0.416,
2009-03,0.344,
2009-04,0.322,
2009-05,0.339,
2009-06,0.321,
2009-07,0.290,
2009-08,0.443,
2009-09,0.505,
2009-10,0.503,
2009-11,0.484,
2009-12,0.495,
2010-01,0.484,
2010-02,0.523,
2010-03,0.458,
2010-04,0.466,
2010-05,0.514,
2010-06,0.532,
2010-07,0.543,
2010-08,0.526,
2010-09,0.504,
2010-10,0.517,
2010-11,0.536,
2010-12,0.522,
2011-01,0.539,
2011-02,0.548,
2011-03,0.596,
2011-04,0.598,
2011-05,0.567,
2011-06,0.565,
2011-07,0.571,
2011-08,0.551,
2011-09,0.560,
2011-10,0.534,
2011-11,0.557,
2011-12,0.562,
2012-01,0.538,
2012-02,0.560,
2012-03,0.565,
2012-04,0.561,
2012-05,0.569,
2012-06,0.588,
2012-07,0.622,
2012-08,0.630,
2012-09,0.590,
2012-10,0.625,
2012-11,0.650,
2012-12,0.631,
2013-01,0.638,
2013-02,0.639,
2013-03,0.635,
2013-04,0.625,
2013-05,0.638,
2013-06,0.654,
2013-07,0.528,
2013-08,0.594,
2013-09,0.501,
2013-10,0.489,
2013-11,0.512,
2013-12,0.509,
2014-01,0.517,
2014-02,0.561,
2014-03,0.541,
2014-04,0.555,
2014-05,0.594,
2014-06,0.636,
2014-07,0.645,
2014-08,0.632,
2014-09,0.641,
2014-10,0.648,
2014-11,0.701,
2014-12,0.595,
