"",BBK01.CEFF01,BBK01.CEFF01_FLAGS
"",long-term loans                                              debtor: Total           creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:51,
1999-01,24.2,
1999-04,21.8,
1999-07,17.9,
1999-10,15.6,
2000-01,25.3,
2000-04,31.3,
2000-07,23.0,
2000-10,37.1,
2001-01,41.2,
2001-04,45.8,
2001-07,43.5,
2001-10,47.5,
2002-01,70.1,
2002-04,80.0,
2002-07,89.9,
2002-10,80.5,
2003-01,88.7,
2003-04,90.6,
2003-07,92.4,
2003-10,90.7,
2004-01,88.0,
2004-04,86.5,
2004-07,89.1,
2004-10,89.0,
2005-01,67.7,
2005-04,66.1,
2005-07,68.9,
2005-10,62.5,
2006-01,76.5,
2006-04,77.6,
2006-07,87.6,
2006-10,89.8,
2007-01,84.3,
2007-04,80.9,
2007-07,82.7,
2007-10,93.1,
2008-01,97.4,
2008-04,93.8,
2008-07,90.7,
2008-10,94.3,
2009-01,96.2,
2009-04,94.8,
2009-07,100.2,
2009-10,99.8,
2010-01,108.0,
2010-04,115.0,
2010-07,116.4,
2010-10,122.4,
2011-01,118.6,
2011-04,112.4,
2011-07,111.6,
2011-10,115.2,
2012-01,117.8,
2012-04,118.2,
2012-07,120.2,
2012-10,119.2,
2013-01,114.1,
2013-04,111.8,
2013-07,113.4,
2013-10,96.9,
2014-01,98.1,
2014-04,95.4,
2014-07,96.0,
