"",BBK01.OEAF15U,BBK01.OEAF15U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:21,
2002-01,0.369,
2002-04,0.386,
2002-07,0.412,
2002-10,0.405,
2003-01,0.394,
2003-04,0.419,
2003-07,0.420,
2003-10,0.403,
2004-01,0.391,
2004-04,0.383,
2004-07,0.395,
2004-10,0.379,
2005-01,0.378,
2005-04,0.384,
2005-07,0.400,
2005-10,0.378,
2006-01,0.366,
2006-04,0.381,
2006-07,0.380,
2006-10,0.366,
2007-01,0.348,
2007-04,0.356,
2007-07,0.366,
2007-10,0.362,
2008-01,0.351,
2008-04,0.354,
2008-07,0.364,
2008-10,0.369,
2009-01,0.356,
2009-04,0.351,
2009-07,0.347,
2009-10,0.326,
2010-01,0.321,
2010-04,0.320,
2010-07,0.314,
2010-10,0.289,
2011-01,0.291,
2011-04,0.286,
2011-07,0.291,
2011-10,0.276,
2012-01,0.274,
2012-04,0.268,
2012-07,0.270,
2012-10,0.260,
2013-01,0.252,
2013-04,0.251,
2013-07,0.261,
2013-10,0.250,
2014-01,0.242,
2014-04,0.255,
2014-07,0.252,
