"",BBK01.OEHI01Q,BBK01.OEHI01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:29,
2002-01,17.544,
2002-04,17.417,
2002-07,17.248,
2002-10,17.659,
2003-01,17.551,
2003-04,17.427,
2003-07,17.454,
2003-10,17.788,
2004-01,17.605,
2004-04,17.636,
2004-07,17.710,
2004-10,18.096,
2005-01,17.838,
2005-04,18.056,
2005-07,18.261,
2005-10,18.843,
2006-01,18.579,
2006-04,18.753,
2006-07,18.965,
2006-10,19.315,
2007-01,19.014,
2007-04,19.185,
2007-07,19.314,
2007-10,19.692,
2008-01,19.448,
2008-04,19.537,
2008-07,19.766,
2008-10,20.691,
2009-01,20.980,
2009-04,21.037,
2009-07,21.224,
2009-10,21.763,
2010-01,21.409,
2010-04,21.474,
2010-07,21.630,
2010-10,21.735,
2011-01,21.534,
2011-04,21.738,
2011-07,22.124,
2011-10,22.672,
2012-01,22.545,
2012-04,22.782,
2012-07,23.009,
2012-10,23.374,
2013-01,23.231,
2013-04,23.728,
2013-07,23.851,
2013-10,24.248,
2014-01,24.118,
2014-04,24.394,
2014-07,24.468,
