"",BBK01.QUK777,BBK01.QUK777_FLAGS
"",Consolidated German banks: Loans and advances to foreign banks / Malta / All currencies,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 08:30:53,
2002-03,0.175,
2002-04,0.194,
2002-05,0.200,
2002-06,0.194,
2002-07,0.233,
2002-08,0.285,
2002-09,0.325,
2002-10,0.247,
2002-11,0.216,
2002-12,0.254,
2003-01,0.366,
2003-02,0.380,
2003-03,0.393,
2003-04,0.345,
2003-05,0.335,
2003-06,0.308,
2003-07,0.369,
2003-08,0.409,
2003-09,0.445,
2003-10,0.540,
2003-11,0.543,
2003-12,0.554,
2004-01,0.673,
2004-02,0.655,
2004-03,0.667,
2004-04,0.662,
2004-05,0.676,
2004-06,0.730,
2004-07,0.788,
2004-08,0.706,
2004-09,0.681,
2004-10,0.648,
2004-11,0.591,
2004-12,0.536,
2005-01,0.463,
2005-02,0.560,
2005-03,0.551,
2005-04,0.525,
2005-05,0.497,
2005-06,0.484,
2005-07,0.467,
2005-08,0.485,
2005-09,0.538,
2005-10,0.603,
2005-11,0.718,
2005-12,0.692,
2006-01,0.767,
2006-02,0.774,
2006-03,0.769,
2006-04,0.886,
2006-05,0.867,
2006-06,0.869,
2006-07,0.847,
2006-08,0.845,
2006-09,0.849,
2006-10,0.846,
2006-11,0.777,
2006-12,0.770,
2007-01,0.690,
2007-02,0.720,
2007-03,0.732,
2007-04,0.734,
2007-05,0.744,
2007-06,0.695,
2007-07,0.615,
2007-08,0.727,
2007-09,0.732,
2007-10,0.717,
2007-11,0.775,
2007-12,0.707,
2008-01,0.540,
2008-02,0.545,
2008-03,0.481,
2008-04,0.425,
2008-05,0.449,
2008-06,0.469,
2008-07,0.534,
2008-08,0.519,
2008-09,0.579,
2008-10,0.410,
2008-11,0.374,
2008-12,0.368,
2009-01,0.361,
2009-02,0.365,
2009-03,0.400,
2009-04,0.378,
2009-05,0.351,
2009-06,0.299,
2009-07,0.258,
2009-08,0.239,
2009-09,0.183,
2009-10,0.195,
2009-11,0.246,
2009-12,0.206,
2010-01,0.146,
2010-02,0.147,
2010-03,0.251,
2010-04,0.219,
2010-05,0.204,
2010-06,0.252,
2010-07,0.219,
2010-08,0.170,
2010-09,0.170,
2010-10,0.176,
2010-11,0.113,
2010-12,0.175,
2011-01,0.190,
2011-02,0.205,
2011-03,0.038,
2011-04,0.040,
2011-05,0.037,
2011-06,0.150,
2011-07,0.045,
2011-08,0.306,
2011-09,0.515,
2011-10,0.253,
2011-11,0.885,
2011-12,0.581,
2012-01,0.758,
2012-02,0.696,
2012-03,0.623,
2012-04,0.581,
2012-05,0.758,
2012-06,0.837,
2012-07,0.840,
2012-08,0.833,
2012-09,0.823,
2012-10,0.654,
2012-11,0.758,
2012-12,0.722,
2013-01,0.733,
2013-02,0.733,
2013-03,0.736,
2013-04,0.827,
2013-05,0.835,
2013-06,1.013,
2013-07,0.977,
2013-08,1.022,
2013-09,1.037,
2013-10,0.784,
2013-11,0.762,
2013-12,0.681,
2014-01,0.703,
2014-02,0.651,
2014-03,0.663,
2014-04,0.675,
2014-05,0.201,
2014-06,0.218,
2014-07,0.220,
2014-08,0.206,
2014-09,0.189,
2014-10,0.119,
