"",BBSF2.M.1.S.00000.GEM01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.GEM01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Mixed securities funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:59,
2009-09,15953,
2009-10,15042,
2009-11,15756,
2009-12,15172,
2010-01,14724,
2010-02,14060,
2010-03,13233,
2010-04,11945,
2010-05,12755,
2010-06,13005,
2010-07,12955,
2010-08,12239,
2010-09,11824,
2010-10,10705,
2010-11,12907,
2010-12,12460,
2011-01,12852,
2011-02,14635,
2011-03,13073,
2011-04,13490,
2011-05,13730,
2011-06,13041,
2011-07,13513,
2011-08,16177,
2011-09,17140,
2011-10,17575,
2011-11,18500,
2011-12,17486,
2012-01,18034,
2012-02,17030,
2012-03,15790,
2012-04,15625,
2012-05,15754,
2012-06,16422,
2012-07,16719,
2012-08,15760,
2012-09,16623,
2012-10,16409,
2012-11,15599,
2012-12,15037,
2013-01,14291,
2013-02,14958,
2013-03,16876,
2013-04,16980,
2013-05,16546,
2013-06,17553,
2013-07,16902,
2013-08,16443,
2013-09,15947,
2013-10,15305,
2013-11,15714,
2013-12,16991,
2014-01,16243,
2014-02,16353,
2014-03,16352,
2014-04,16498,
2014-05,16034,
2014-06,14061,
2014-07,14319,
2014-08,16012,
2014-09,16815,
2014-10,16499,
2014-11,15935,
