"",BBK01.OEAJ04R,BBK01.OEAJ04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:21,
2002-01,0.675,
2002-04,0.633,
2002-07,0.663,
2002-10,0.697,
2003-01,0.569,
2003-04,0.579,
2003-07,0.532,
2003-10,0.568,
2004-01,0.533,
2004-04,0.484,
2004-07,0.454,
2004-10,0.496,
2005-01,0.460,
2005-04,0.394,
2005-07,0.480,
2005-10,0.406,
2006-01,0.445,
2006-04,0.481,
2006-07,0.481,
2006-10,0.452,
2007-01,0.531,
2007-04,0.581,
2007-07,0.654,
2007-10,0.730,
2008-01,0.845,
2008-04,0.827,
2008-07,0.920,
2008-10,0.813,
2009-01,0.471,
2009-04,0.399,
2009-07,0.399,
2009-10,0.380,
2010-01,0.358,
2010-04,0.307,
2010-07,0.321,
2010-10,0.350,
2011-01,0.388,
2011-04,0.391,
2011-07,0.405,
2011-10,0.841,
2012-01,0.849,
2012-04,0.956,
2012-07,1.012,
2012-10,0.980,
2013-01,0.982,
2013-04,0.968,
2013-07,0.945,
2013-10,0.855,
2014-01,0.892,
2014-04,0.869,
2014-07,0.638,
