"",BBK01.OELM07Q,BBK01.OELM07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:07,
2002-01,0.042,
2002-04,0.038,
2002-07,0.037,
2002-10,0.036,
2003-01,0.040,
2003-04,0.023,
2003-07,0.023,
2003-10,0.024,
2004-01,0.024,
2004-04,0.027,
2004-07,0.026,
2004-10,0.027,
2005-01,0.027,
2005-04,0.025,
2005-07,0.025,
2005-10,0.026,
2006-01,0.026,
2006-04,0.026,
2006-07,0.024,
2006-10,0.023,
2007-01,0.025,
2007-04,0.023,
2007-07,0.024,
2007-10,0.024,
2008-01,0.026,
2008-04,0.025,
2008-07,0.026,
2008-10,0.024,
2009-01,0.026,
2009-04,0.027,
2009-07,0.025,
2009-10,0.029,
2010-01,0.027,
2010-04,0.107,
2010-07,0.106,
2010-10,0.108,
2011-01,0.109,
2011-04,0.107,
2011-07,0.110,
2011-10,0.109,
2012-01,0.111,
2012-04,0.112,
2012-07,0.119,
2012-10,0.119,
2013-01,0.121,
2013-04,0.122,
2013-07,0.121,
2013-10,0.116,
2014-01,0.116,
2014-04,0.117,
2014-07,0.119,
