"",BBK01.OEBJ10N,BBK01.OEBJ10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:06,
2002-01,0.612,
2002-04,0.608,
2002-07,0.600,
2002-10,0.583,
2003-01,0.581,
2003-04,0.522,
2003-07,0.511,
2003-10,0.496,
2004-01,0.478,
2004-04,0.455,
2004-07,0.438,
2004-10,0.466,
2005-01,0.455,
2005-04,0.438,
2005-07,0.408,
2005-10,0.391,
2006-01,0.374,
2006-04,0.354,
2006-07,0.343,
2006-10,0.328,
2007-01,0.314,
2007-04,0.283,
2007-07,0.270,
2007-10,0.234,
2008-01,0.221,
2008-04,0.205,
2008-07,0.192,
2008-10,0.184,
2009-01,0.171,
2009-04,0.158,
2009-07,0.151,
2009-10,0.141,
2010-01,0.134,
2010-04,0.129,
2010-07,0.123,
2010-10,0.113,
2011-01,0.106,
2011-04,0.001,
2011-07,0.001,
2011-10,0.001,
2012-01,0.001,
2012-04,0.001,
2012-07,0.002,
2012-10,0.017,
2013-01,0.017,
2013-04,0.017,
2013-07,0.017,
2013-10,0.016,
2014-01,0.016,
2014-04,0.010,
2014-07,0.010,
