"",BBFN1.M.DE.N.1.L.CY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Cyprus,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:27,
1994-12,0.106,
1995-01,0.125,
1995-02,0.157,
1995-03,0.166,
1995-04,0.165,
1995-05,0.168,
1995-06,0.176,
1995-07,0.162,
1995-08,0.152,
1995-09,0.164,
1995-10,0.149,
1995-11,0.147,
1995-12,0.140,
1996-01,0.153,
1996-02,0.155,
1996-03,0.169,
1996-04,0.175,
1996-05,0.169,
1996-06,0.174,
1996-07,0.169,
1996-08,0.170,
1996-09,0.175,
1996-10,0.175,
1996-11,0.172,
1996-12,0.182,
1997-01,0.199,
1997-02,0.219,
1997-03,0.227,
1997-04,0.186,
1997-05,0.185,
1997-06,0.186,
1997-07,0.171,
1997-08,0.171,
1997-09,0.160,
1997-10,0.160,
1997-11,0.155,
1997-12,0.123,
1998-01,0.155,
1998-02,0.182,
1998-03,0.173,
1998-04,0.191,
1998-05,0.175,
1998-06,0.205,
1998-07,0.180,
1998-08,0.193,
1998-09,0.184,
1998-10,0.210,
1998-11,0.181,
1998-12,0.149,
1999-01,0.164,
1999-02,0.183,
1999-03,0.196,
1999-04,0.201,
1999-05,0.221,
1999-06,0.236,
1999-07,0.212,
1999-08,0.203,
1999-09,0.214,
1999-10,0.216,
1999-11,0.190,
1999-12,0.134,
2000-01,0.192,
2000-02,0.187,
2000-03,0.172,
2000-04,0.206,
2000-05,0.190,
2000-06,0.222,
2000-07,0.178,
2000-08,0.255,
2000-09,0.218,
2000-10,0.260,
2000-11,0.309,
2000-12,0.229,
2001-01,0.243,
2001-02,0.208,
2001-03,0.228,
2001-04,0.196,
2001-05,0.228,
2001-06,0.292,
2001-07,0.208,
2001-08,0.255,
2001-09,0.315,
2001-10,0.281,
2001-11,0.267,
2001-12,0.321,
2002-01,0.251,
2002-02,0.244,
2002-03,0.240,
2002-04,0.235,
2002-05,0.260,
2002-06,0.316,
2002-07,0.273,
2002-08,0.262,
2002-09,0.256,
2002-10,0.286,
2002-11,0.300,
2002-12,0.239,
2003-01,0.242,
2003-02,0.326,
2003-03,0.321,
2003-04,0.325,
2003-05,0.388,
2003-06,0.362,
2003-07,0.382,
2003-08,0.417,
2003-09,0.385,
2003-10,0.342,
2003-11,0.278,
2003-12,0.284,
2004-01,0.313,
2004-02,0.317,
2004-03,0.334,
2004-04,0.367,
2004-05,0.389,
2004-06,0.501,
2004-07,0.363,
2004-08,0.347,
2004-09,0.443,
2004-10,0.388,
2004-11,0.483,
2004-12,0.361,
2005-01,0.372,
2005-02,0.400,
2005-03,0.350,
2005-04,0.418,
2005-05,0.425,
2005-06,0.551,
2005-07,0.453,
2005-08,0.456,
2005-09,0.474,
2005-10,0.413,
2005-11,0.402,
2005-12,0.329,
2006-01,0.319,
2006-02,0.435,
2006-03,0.437,
2006-04,0.503,
2006-05,0.446,
2006-06,0.515,
2006-07,0.428,
2006-08,0.450,
2006-09,0.427,
2006-10,0.418,
2006-11,0.390,
2006-12,0.341,
2007-01,0.354,
2007-02,0.400,
2007-03,0.390,
2007-04,0.744,
2007-05,0.854,
2007-06,0.917,
2007-07,0.907,
2007-08,0.911,
2007-09,0.916,
2007-10,0.989,
2007-11,0.886,
2007-12,0.864,
2008-01,0.866,
2008-02,0.906,
2008-03,0.930,
2008-04,0.916,
2008-05,0.927,
2008-06,0.972,
2008-07,0.959,
2008-08,0.972,
2008-09,1.010,
2008-10,0.946,
2008-11,0.933,
2008-12,0.904,
2009-01,0.857,
2009-02,0.902,
2009-03,0.847,
2009-04,0.851,
2009-05,0.897,
2009-06,0.979,
2009-07,0.924,
2009-08,0.964,
2009-09,0.967,
2009-10,0.985,
2009-11,0.929,
2009-12,0.939,
2010-01,0.944,
2010-02,0.928,
2010-03,0.835,
2010-04,0.904,
2010-05,0.887,
2010-06,0.873,
2010-07,0.899,
2010-08,0.882,
2010-09,0.852,
2010-10,0.886,
2010-11,0.922,
2010-12,0.866,
2011-01,0.877,
2011-02,0.966,
2011-03,0.973,
2011-04,0.944,
2011-05,0.895,
2011-06,0.908,
2011-07,0.870,
2011-08,0.799,
2011-09,0.760,
2011-10,0.837,
2011-11,0.785,
2011-12,0.972,
2012-01,0.979,
2012-02,0.987,
2012-03,1.108,
2012-04,1.081,
2012-05,1.112,
2012-06,1.176,
2012-07,1.113,
2012-08,1.203,
2012-09,1.236,
2012-10,1.226,
2012-11,1.244,
2012-12,1.204,
2013-01,1.187,
2013-02,1.220,
2013-03,1.282,
2013-04,0.997,
2013-05,1.003,
2013-06,1.069,
2013-07,1.002,
2013-08,1.031,
2013-09,1.040,
2013-10,0.965,
2013-11,0.964,
2013-12,0.940,
2014-01,0.994,
2014-02,0.976,
2014-03,0.969,
2014-04,0.910,
2014-05,0.850,
2014-06,0.638,
2014-07,0.604,
2014-08,0.605,
2014-09,0.564,
2014-10,0.597,
2014-11,0.632,
2014-12,0.609,
