"",BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.A.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Long-term loans / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:11,
1991-01,1336.362,
1991-04,1336.438,
1991-07,177.617,
1991-10,689.574,
1992-01,-58.182,
1992-04,283.371,
1992-07,413.870,
1992-10,1239.098,
1993-01,-350.635,
1993-04,-139.828,
1993-07,436.060,
1993-10,682.812,
1994-01,466.049,
1994-04,196.566,
1994-07,643.698,
1994-10,579.520,
1995-01,-550.296,
1995-04,1131.634,
1995-07,1377.173,
1995-10,1148.189,
1996-01,-90.695,
1996-04,249.945,
1996-07,-302.039,
1996-10,584.717,
1997-01,784.994,
1997-04,1082.390,
1997-07,1634.738,
1997-10,2670.280,
1998-01,915.082,
1998-04,2883.827,
1998-07,3065.126,
1998-10,3119.223,
1999-01,1391.797,
1999-04,2987.172,
1999-07,3232.239,
1999-10,3549.978,
2000-01,2993.607,
2000-04,4698.281,
2000-07,4165.226,
2000-10,6168.856,
2001-01,1920.851,
2001-04,3323.865,
2001-07,1426.439,
2001-10,2488.331,
2002-01,1930.694,
2002-04,341.318,
2002-07,806.261,
2002-10,3447.003,
2003-01,5457.588,
2003-04,3330.516,
2003-07,438.669,
2003-10,802.753,
2004-01,-711.052,
2004-04,-834.442,
2004-07,-247.673,
2004-10,261.039,
2005-01,713.300,
2005-04,3384.631,
2005-07,1443.727,
2005-10,-79.483,
2006-01,7560.992,
2006-04,889.444,
2006-07,1658.193,
2006-10,-3372.670,
2007-01,1268.953,
2007-04,3934.013,
2007-07,10779.659,
2007-10,9356.879,
2008-01,8203.475,
2008-04,5253.594,
2008-07,13429.000,
2008-10,5169.459,
2009-01,3411.151,
2009-04,2100.067,
2009-07,-3789.509,
2009-10,-10350.925,
2010-01,1981.915,
2010-04,1981.302,
2010-07,-7470.396,
2010-10,1868.075,
2011-01,-5658.181,
2011-04,-821.918,
2011-07,1226.478,
2011-10,8308.591,
2012-01,-1530.513,
2012-04,-4074.756,
2012-07,-1628.298,
2012-10,-1764.740,
2013-01,-2523.686,
2013-04,-3284.844,
2013-07,-3249.113,
2013-10,-1743.699,
2014-01,-386.382,Provisional value
2014-04,-2618.085,Provisional value
2014-07,-1047.260,Provisional value
2014-10,-1160.170,Provisional value
