"",BBK01.OEHI09U,BBK01.OEHI09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:19,
2002-01,1.082,
2002-04,1.049,
2002-07,1.068,
2002-10,1.108,
2003-01,1.094,
2003-04,1.052,
2003-07,1.013,
2003-10,0.965,
2004-01,0.948,
2004-04,0.934,
2004-07,0.934,
2004-10,0.991,
2005-01,0.976,
2005-04,0.979,
2005-07,0.965,
2005-10,1.129,
2006-01,1.236,
2006-04,1.221,
2006-07,1.282,
2006-10,1.306,
2007-01,1.350,
2007-04,1.398,
2007-07,1.525,
2007-10,1.572,
2008-01,1.458,
2008-04,1.495,
2008-07,1.478,
2008-10,1.611,
2009-01,1.524,
2009-04,1.428,
2009-07,1.191,
2009-10,1.335,
2010-01,1.259,
2010-04,1.202,
2010-07,1.062,
2010-10,0.913,
2011-01,0.769,
2011-04,0.773,
2011-07,0.724,
2011-10,0.694,
2012-01,0.672,
2012-04,0.653,
2012-07,0.651,
2012-10,0.644,
2013-01,0.550,
2013-04,0.499,
2013-07,0.472,
2013-10,0.464,
2014-01,0.460,
2014-04,0.476,
2014-07,0.459,
