"",BBK01.OEAD04O,BBK01.OEAD04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:40,
2002-01,0.570,
2002-04,0.576,
2002-07,0.564,
2002-10,0.583,
2003-01,0.580,
2003-04,0.521,
2003-07,0.441,
2003-10,0.477,
2004-01,0.464,
2004-04,0.450,
2004-07,0.429,
2004-10,0.392,
2005-01,0.398,
2005-04,0.396,
2005-07,0.354,
2005-10,0.354,
2006-01,0.402,
2006-04,0.402,
2006-07,0.354,
2006-10,0.321,
2007-01,0.329,
2007-04,0.390,
2007-07,0.358,
2007-10,0.469,
2008-01,0.376,
2008-04,0.360,
2008-07,0.293,
2008-10,0.332,
2009-01,0.355,
2009-04,0.408,
2009-07,0.384,
2009-10,0.370,
2010-01,0.439,
2010-04,0.472,
2010-07,0.413,
2010-10,0.404,
2011-01,0.390,
2011-04,0.373,
2011-07,0.330,
2011-10,0.325,
2012-01,0.329,
2012-04,0.345,
2012-07,0.316,
2012-10,0.318,
2013-01,0.329,
2013-04,0.334,
2013-07,0.313,
2013-10,0.311,
2014-01,0.339,
2014-04,0.349,
2014-07,0.323,
