"",BBFB1.Q.N.DE.E1.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.E1.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Europe,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:12,
1991-01,12738.006,
1991-04,13975.165,
1991-07,16771.085,
1991-10,13218.873,
1992-01,13806.838,
1992-04,15168.773,
1992-07,17886.135,
1992-10,14734.280,
1993-01,13774.101,
1993-04,15752.957,
1993-07,18805.897,
1993-10,14701.501,
1994-01,14725.181,
1994-04,16688.145,
1994-07,20214.345,
1994-10,15542.071,
1995-01,16310.555,
1995-04,17346.476,
1995-07,21060.905,
1995-10,16556.423,
1996-01,16378.050,
1996-04,18506.496,
1996-07,22378.675,
1996-10,18029.374,
1997-01,17579.935,
1997-04,19817.468,
1997-07,24209.892,
1997-10,19480.789,
1998-01,18365.886,
1998-04,21130.391,
1998-07,25556.808,
1998-10,20499.401,
1999-01,19347.192,
1999-04,23094.826,
1999-07,27856.255,
1999-10,23563.595,
2000-01,22428.630,
2000-04,25482.665,
2000-07,30675.499,
2000-10,26414.066,
2001-01,25201.124,
2001-04,27673.149,
2001-07,32956.339,
2001-10,26156.538,
2002-01,24964.641,
2002-04,27125.236,
2002-07,32595.770,
2002-10,25946.223,
2003-01,23877.251,
2003-04,27517.644,
2003-07,34680.092,
2003-10,25914.625,
2004-01,24915.439,
2004-04,28808.757,
2004-07,34040.423,
2004-10,26986.786,
2005-01,25559.753,
2005-04,29059.141,
2005-07,36044.423,
2005-10,29173.889,
2006-01,27364.898,
2006-04,30202.665,
2006-07,37126.436,
2006-10,29528.719,
2007-01,29081.767,
2007-04,32463.364,
2007-07,39756.064,
2007-10,32014.836,
2008-01,30168.567,
2008-04,33886.757,
2008-07,40793.334,
2008-10,32408.290,
2009-01,27785.498,
2009-04,30885.812,
2009-07,37451.469,
2009-10,30570.145,
2010-01,28707.193,
2010-04,33914.406,
2010-07,40728.821,
2010-10,33963.386,
2011-01,31512.130,
2011-04,35807.166,
2011-07,43245.140,
2011-10,35502.346,
2012-01,32600.669,
2012-04,36734.752,
2012-07,44633.642,
2012-10,36760.130,
2013-01,35602.151,
2013-04,40012.842,
2013-07,48202.960,
2013-10,40166.388,
2014-01,35897.439,Provisional value
2014-04,40446.878,Provisional value
2014-07,50248.184,Provisional value
