"",BBSF2.M.1.S.I0002.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:55,
2009-09,1443,
2009-10,1706,
2009-11,1505,
2009-12,2038,
2010-01,143,
2010-02,593,
2010-03,528,
2010-04,911,
2010-05,689,
2010-06,246,
2010-07,1197,
2010-08,423,
2010-09,1577,
2010-10,618,
2010-11,680,
2010-12,1090,
2011-01,454,
2011-02,313,
2011-03,629,
2011-04,971,
2011-05,667,
2011-06,446,
2011-07,449,
2011-08,309,
2011-09,725,
2011-10,2646,
2011-11,1919,
2011-12,1365,
2012-01,785,
2012-02,549,
2012-03,437,
2012-04,1510,
2012-05,706,
2012-06,4416,
2012-07,2547,
2012-08,939,
2012-09,919,
2012-10,817,
2012-11,1115,
2012-12,1402,
2013-01,1425,
2013-02,607,
2013-03,502,
2013-04,400,
2013-05,471,
2013-06,1597,
2013-07,3761,
2013-08,437,
2013-09,993,
2013-10,1848,
2013-11,1866,
2013-12,2148,
2014-01,1703,
2014-02,587,
2014-03,729,
2014-04,1743,
2014-05,1036,
2014-06,1153,
2014-07,2089,
2014-08,678,
2014-09,710,
2014-10,8924,
2014-11,1085,
