"",BBK01.OEAE23L,BBK01.OEAE23L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:12,
2002-01,0.177,
2002-04,0.170,
2002-07,0.160,
2002-10,0.154,
2003-01,0.150,
2003-04,0.206,
2003-07,0.166,
2003-10,0.149,
2004-01,0.173,
2004-04,0.216,
2004-07,0.179,
2004-10,0.150,
2005-01,0.155,
2005-04,0.153,
2005-07,0.121,
2005-10,0.115,
2006-01,0.120,
2006-04,0.123,
2006-07,0.126,
2006-10,0.127,
2007-01,0.134,
2007-04,0.176,
2007-07,0.137,
2007-10,0.153,
2008-01,0.151,
2008-04,0.142,
2008-07,0.136,
2008-10,0.145,
2009-01,0.150,
2009-04,0.148,
2009-07,0.149,
2009-10,0.182,
2010-01,0.180,
2010-04,0.178,
2010-07,0.176,
2010-10,0.171,
2011-01,0.172,
2011-04,0.151,
2011-07,0.153,
2011-10,0.148,
2012-01,0.158,
2012-04,0.157,
2012-07,0.152,
2012-10,0.146,
2013-01,0.135,
2013-04,0.135,
2013-07,0.131,
2013-10,0.129,
2014-01,0.125,
2014-04,0.130,
2014-07,0.143,
